m,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,5.8416553250657755,0.067207462473799,0.006720746247379899,5.859940517059886,0.06111956796042511,0.0061119567960425105,0.01828519199411094
332,6.068346457040154,0.03465777839497863,0.0034657778394978633,6.072561388595567,0.03028283676271979,0.003028283676271979,0.004214931555412527
497,6.124277582622108,0.023444756016680526,0.0023444756016680526,6.126432188653836,0.01981331616572595,0.0019813316165725953,0.0021546060317279014
663,6.142495766569916,0.018994907661120435,0.0018994907661120434,6.143811213540407,0.01771771085042067,0.0017717710850420668,0.0013154469704907967
828,6.138219354242359,0.017473710225766225,0.0017473710225766226,6.13891976756645,0.015137871487621175,0.0015137871487621176,0.000700413324090654
994,6.129652956019393,0.015219292177776213,0.0015219292177776212,6.130130605983259,0.013622872128141492,0.0013622872128141491,0.0004776499638667886
1159,6.110449996713457,0.013898825043640253,0.0013898825043640252,6.112494280314,0.011840248534493803,0.0011840248534493803,0.0020442836005436504
1325,6.09270410806241,0.010279815875575998,0.0010279815875575999,6.092560834824155,0.009617866976636332,0.0009617866976636332,-0.00014327323825469307
1490,6.0629134972802525,0.012329187210176572,0.0012329187210176572,6.063090735719381,0.010207402662177754,0.0010207402662177755,0.00017723843912875736
1656,6.03554440130007,0.009862771024910713,0.0009862771024910714,6.0355080258653695,0.0092012164271629,0.00092012164271629,-3.6375434700808285e-05
1821,6.00516717772851,0.009445809108135523,0.0009445809108135523,6.005787561068811,0.008481661812614392,0.0008481661812614393,0.0006203833403004566
1987,5.973146083268022,0.009517934091542703,0.0009517934091542703,5.973179468294055,0.008313333295424104,0.0008313333295424105,3.338502603345006e-05
2152,5.9403044194855195,0.00998262174384568,0.000998262174384568,5.939078972810716,0.00985422673138798,0.000985422673138798,-0.0012254466748036208
2318,5.906491709569816,0.008918748990440768,0.0008918748990440768,5.907200265442265,0.007985634606456342,0.0007985634606456342,0.0007085558724488905
2483,5.867726850314933,0.00975958455779746,0.0009759584557797459,5.868250432736562,0.008725857886808542,0.0008725857886808542,0.0005235824216285323
2649,5.830541272403119,0.009290455311896807,0.0009290455311896807,5.830823122094195,0.008856575823002885,0.0008856575823002885,0.0002818496910759194
2814,5.793319251192081,0.009390423501164945,0.0009390423501164945,5.792591011132181,0.008282547095436913,0.0008282547095436913,-0.0007282400598995764
2980,5.7505452385480655,0.008742867461810574,0.0008742867461810574,5.750947322042862,0.008418337046241476,0.0008418337046241476,0.00040208349479620153
3145,5.710376136377712,0.008220915697818213,0.0008220915697818214,5.709848540813913,0.008231068190630148,0.0008231068190630148,-0.0005275955637991103
