m,order,mean,std,sem,count,minimum,maximum
1,1.0,0.0,0.0,0.0,200,-0.0,-0.0
1,2.0,0.0,0.0,0.0,200,-0.0,-0.0
1,inf,0.0,0.0,0.0,200,-0.0,-0.0
166,1.0,5.845184702942237,0.0668228791075545,0.004725091095536065,200,5.673495158088649,6.093226176069306
166,2.0,5.536081792853583,0.07834751070768534,0.005540005611048994,200,5.290647244056553,5.790076930625769
166,inf,4.3998638669773005,0.15700840209884512,0.011102170582735753,200,3.954306393918191,4.759697059809098
332,1.0,6.0672669781693,0.03381635831363406,0.002391177627860473,200,5.9652442962927195,6.1574995125544465
332,2.0,5.729404016652885,0.043687265214489394,0.003089156148466062,200,5.627250867886183,5.835693730538407
332,inf,4.463796125702296,0.08987499330508046,0.006355121722511795,200,4.201022615823555,4.685177818371344
497,1.0,6.123491899988852,0.023794061428181214,0.0016824942187836204,200,6.065900529269569,6.185451043240554
497,2.0,5.762162786251947,0.03390211439347778,0.0023972414984190196,200,5.673710859247773,5.8484513813076
497,inf,4.27448221995618,0.061269306856006255,0.004332394235648145,200,4.107094147876219,4.436785605841468
663,1.0,6.142772758262526,0.018102838770243216,0.0012800640053165719,200,6.089748915449831,6.203828173324916
663,2.0,5.750952251056784,0.028106948990982546,0.0019874614229988146,200,5.654790704240798,5.846184375229824
663,inf,4.0695633003031935,0.046571529697398015,0.0032931044459260815,200,3.905486184014234,4.22380615876687
828,1.0,6.139289014971607,0.016329593118194066,0.0011546766027892203,200,6.087711876007862,6.1736323494364465
828,2.0,5.701815108239398,0.02665484873962294,0.001884782429528908,200,5.616103583641118,5.756024288165781
828,inf,3.86432932871292,0.03693325321934135,0.0026115753802676157,200,3.7557390802343305,3.941356103555099
994,1.0,6.129420576751466,0.014452890511561118,0.0010219736888471575,200,6.088984422257434,6.170999150592187
994,2.0,5.637331193797922,0.024039939280467063,0.0016998804084531111,200,5.5797911168335,5.693825755429345
994,inf,3.6812384097354958,0.031034448414353807,0.0021944668924173674,200,3.6060624771734235,3.751152104409746
1159,1.0,6.111151626984097,0.013502019129512172,0.0009547369286188542,200,6.069091189210613,6.144100316876927
1159,2.0,5.556653794966974,0.023783107236379206,0.0016817196404530586,200,5.489616597313197,5.612338235991975
1159,inf,3.5181936330808026,0.026750396761052616,0.0018915386949170962,200,3.4428354729958937,3.598260339402642
1325,1.0,6.091655919954501,0.011712776506300914,0.0008282183694127854,200,6.05609526631628,6.119302932021526
1325,2.0,5.468829174581877,0.020801674931957434,0.0014709005404425315,200,5.413091524932604,5.514396506148372
1325,inf,3.371561582492686,0.02241567539678314,0.0015850276077941812,200,3.3009603945176442,3.4197362307628203
1490,1.0,6.063697481715601,0.012543164079900252,0.000886935637843299,200,6.028073039021882,6.093561564320622
1490,2.0,5.3633118184188495,0.021968570917380206,0.0015534125468657117,200,5.2861536218692775,5.413086719362747
1490,inf,3.2284547650841375,0.020722295844912697,0.0014652875913691585,200,3.148769978340769,3.2790043460935103
1656,1.0,6.036113839683512,0.01034432998089292,0.0007314545876320693,200,6.003178187150218,6.064993480994225
1656,2.0,5.257903303809156,0.019065772460899612,0.0013481536995661844,200,5.192832676135515,5.314087661026542
1656,inf,3.1020016879387895,0.017181578676292594,0.0012149210793496678,200,3.043113818835948,3.148420640576619
1821,1.0,6.004785645985135,0.010283393635930426,0.0007271457373576991,200,5.98050487063596,6.032702140906053
1821,2.0,5.1477375668196865,0.018842654766284207,0.0013323768960796583,200,5.093831881008863,5.197011220867973
1821,inf,2.9854814905108866,0.015986239717935873,0.0011303978510226176,200,2.9380907193308317,3.0269410159666825
1987,1.0,5.97262681969999,0.00935378501558898,0.0006614124814284083,200,5.947965279480872,5.99560839852531
1987,2.0,5.036104782568945,0.01688198776975357,0.001193736803190111,200,4.9920389234305755,5.077405030219404
1987,inf,2.877437308585388,0.013567162410070043,0.000959343254161975,200,2.841595001590964,2.910262954190718
2152,1.0,5.939831017925149,0.009768765312437583,0.0006907560196244537,200,5.912076115557625,5.969620870419388
2152,2.0,4.924734084714693,0.017038682571552347,0.0012048167988829705,200,4.877437868539909,4.970555819330466
2152,inf,2.777749254719369,0.012956105003738245,0.0009161349705908272,200,2.7383747152619513,2.81403715857147
2318,1.0,5.905186928509256,0.009746410521975245,0.0006891752972316614,200,5.875789810541489,5.9302152795098735
2318,2.0,4.8133504770909905,0.017454843015250507,0.0012342437860630277,200,4.75161870460206,4.850479786388622
2318,inf,2.6844211003790206,0.012743666604612486,0.0009011133073302033,200,2.636338636981301,2.7120003621909334
2483,1.0,5.867182113392562,0.009558540673601632,0.0006758908928551143,200,5.841465845577815,5.892020799872546
2483,2.0,4.698909564259055,0.015174463483524765,0.0010729966030068002,200,4.650990763979997,4.740910576493584
2483,inf,2.594617009025748,0.01064424176592305,0.000752661553327326,200,2.5593740429890763,2.622508957905336
2649,1.0,5.830070787946169,0.009099941979736835,0.0006434630682276052,200,5.806070416764184,5.853389129505712
2649,2.0,4.58784924317584,0.014315543121257115,0.001012261761740934,200,4.54343899255143,4.624288643029761
2649,inf,2.5108961557286533,0.009730722791113689,0.0006880660071442978,200,2.47806634938026,2.5348056648655897
2814,1.0,5.791164087496748,0.009913619084701442,0.0007009987280892764,200,5.76182354277145,5.817411547611829
2814,2.0,4.479243701929759,0.014845917497127003,0.001049764893515452,200,4.43595204077296,4.5146671863261965
2814,inf,2.4328558495716743,0.009606110846413607,0.0006792546120328707,200,2.4039188366819073,2.45682776809103
