m,order,mean,std,sem,count,minimum,maximum
1,1.0,0.0,0.0,0.0,1000,-0.0,-0.0
1,2.0,0.0,0.0,0.0,1000,-0.0,-0.0
1,inf,0.0,0.0,0.0,1000,-0.0,-0.0
17,1.0,3.846599156829985,0.14516763868601054,0.0045906038079616615,1000,3.1725005239239383,4.08746284125034
17,2.0,3.766678982195779,0.18690019585997666,0.005910303140490988,1000,2.965472316871729,4.087462841250339
17,inf,3.046143890361573,0.3852225570439171,0.012181806863329182,1000,1.982195226334871,4.087462841250339
33,1.0,4.615168681796975,0.12754754658015113,0.004033407571596977,1000,4.20016285494698,4.983788058752392
33,2.0,4.476292744943645,0.16093597527328998,0.005089242393241356,1000,3.9390411192122246,4.95950522177194
33,inf,3.542832394903198,0.29335150240372787,0.009276589026281394,1000,2.7084200614658602,4.044394119358454
49,1.0,5.004242929844523,0.11414122800312561,0.0036094625541846954,1000,4.640649138903129,5.369811884931535
49,2.0,4.819657506137064,0.141469340483493,0.00447365335009704,1000,4.359054968647011,5.29868235066753
49,inf,3.783230909278867,0.2474815798767,0.007826054713472648,1000,2.833622977419441,4.614709844115208
66,1.0,5.264122957388347,0.09875296826745558,0.0031228430542749167,1000,4.908101912018474,5.57389982493367
66,2.0,5.043046990042007,0.12145372236751195,0.0038407039298707568,1000,4.6293566200796095,5.388348520575815
66,inf,3.961264894447906,0.2207657154138537,0.006981224899843196,1000,3.2145258774395025,4.655910292097219
82,1.0,5.433280758877758,0.09340910475903473,0.0029538552523582337,1000,5.170148480554464,5.7282549968659255
82,2.0,5.187592855825664,0.11136569882247807,0.003521692614953624,1000,4.808213413627648,5.525279450356151
82,inf,4.07771184783906,0.19501291990907374,0.006166850000726693,1000,3.307011458384916,4.585998701454471
98,1.0,5.557363582432431,0.08366721946775053,0.0026457897901127243,1000,5.254344044567949,5.827525328397472
98,2.0,5.293428601582567,0.09785777732402884,0.0030945346310550822,1000,4.9814921747868315,5.614709844115208
98,inf,4.161940997094422,0.18187487718705694,0.005751388610744978,1000,3.6020915363666552,4.75950388304091
114,1.0,5.6457780831465225,0.0771344375425744,0.002439205086705362,1000,5.416539917571187,5.904204224632317
114,2.0,5.3665783193108565,0.09035192228587034,0.002857178653978773,1000,5.073322991061404,5.6657800283294835
114,inf,4.2350931751501015,0.1745148321745141,0.005518643551534999,1000,3.6540882985171157,4.757590237578245
130,1.0,5.725803012420933,0.07344028850600613,0.002322385836988638,1000,5.470127188993329,5.951457582604983
130,2.0,5.436377001700506,0.08483413482288223,0.0026826908937011285,1000,5.174370906473505,5.652418203278149
130,inf,4.304941665738965,0.15791660282071915,0.004993761452696431,1000,3.759554879443545,4.74636066505193
146,1.0,5.788903024385603,0.06924906011921636,0.0021898475580265494,1000,5.568311982911919,5.9820960189516335
146,2.0,5.489333077930363,0.08061440498757519,0.002549251319799754,1000,5.2452227975391095,5.757597298303659
146,inf,4.346437438655767,0.15958948594592537,0.005046662662045553,1000,3.8075512715241953,4.848853197757857
163,1.0,5.836328506047965,0.06191915779346602,0.001958055694267184,1000,5.626452199688093,6.007519595872154
163,2.0,5.5302283052714785,0.07351329141933255,0.0023246943918080313,1000,5.277496130614266,5.7287895152669455
163,inf,4.38786644772185,0.15741837655918928,0.00497800615493098,1000,3.836434600845944,4.78908905946364
179,1.0,5.882089863013285,0.056173314157674625,0.0017763561645843461,1000,5.668029062386322,6.056729425460741
179,2.0,5.571284636018356,0.06545382613084473,0.002069831721461156,1000,5.32919564053804,5.760617234350979
179,inf,4.4252886968894325,0.13924623746659145,0.0044033526600310334,1000,3.9642207680050485,4.806978465077081
195,1.0,5.91934296982122,0.053330782318617216,0.0016864674152546604,1000,5.733205675825619,6.074368878777491
195,2.0,5.6037044261016815,0.06299928806526288,0.001992212412552932,1000,5.3707395762101875,5.773791459888352
195,inf,4.4468809812512085,0.14235686659560717,0.004501719390068588,1000,3.9063140661398035,4.8513434259220025
211,1.0,5.941543647981213,0.05128759099867967,0.0016218560325897758,1000,5.780500128608212,6.090706601606265
211,2.0,5.6213621296902065,0.0620572253634557,0.001962421774188905,1000,5.415674934894604,5.803762463423898
