m,sample_count,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,100,5.8416553250657755,0.06720746247379893,0.006720746247379892,5.859940517059886,0.06111956796042519,0.006111956796042519,0.01828519199411094
332,100,6.068346457040154,0.034657778394978654,0.0034657778394978655,6.0725613885955685,0.030282836762719968,0.003028283676271997,0.004214931555414303
497,100,6.124277582622108,0.023444756016680546,0.0023444756016680547,6.126432188653836,0.019813316165725965,0.0019813316165725966,0.0021546060317279014
663,100,6.142495766569917,0.018994907661120355,0.0018994907661120356,6.143811213540407,0.017717710850420693,0.0017717710850420694,0.0013154469704899086
828,100,6.138219354242359,0.017473710225766333,0.0017473710225766332,6.13891976756645,0.015137871487621336,0.0015137871487621336,0.000700413324090654
994,100,6.129652956019393,0.01521929217777613,0.001521929217777613,6.130130605983261,0.013622872128141495,0.0013622872128141496,0.00047764996386856495
1159,100,6.110449996713457,0.01389882504364024,0.0013898825043640241,6.112494280314,0.011840248534493834,0.0011840248534493833,0.0020442836005436504
1325,100,6.092704108062409,0.010279815875575955,0.0010279815875575955,6.092560834824155,0.009617866976636304,0.0009617866976636304,-0.0001432732382538049
1490,100,6.0629134972802525,0.012329187210176742,0.0012329187210176743,6.063090735719381,0.010207402662177659,0.001020740266217766,0.00017723843912875736
1656,100,6.03554440130007,0.009862771024910726,0.0009862771024910725,6.0355080258653695,0.009201216427163131,0.0009201216427163131,-3.6375434700808285e-05
1821,100,6.005167177728512,0.009445809108135455,0.0009445809108135454,6.005787561068811,0.008481661812614486,0.0008481661812614486,0.0006203833402986803
1987,100,5.973146083268022,0.00951793409154266,0.000951793409154266,5.973179468294055,0.00831333329542402,0.0008313333295424019,3.338502603345006e-05
2152,100,5.94030441948552,0.009982621743845621,0.000998262174384562,5.939078972810716,0.00985422673138809,0.000985422673138809,-0.001225446674804509
2318,100,5.906491709569817,0.008918748990440744,0.0008918748990440744,5.907200265442266,0.007985634606456354,0.0007985634606456354,0.0007085558724488905
2483,100,5.867726850314933,0.009759584557797414,0.0009759584557797414,5.868250432736562,0.008725857886808594,0.0008725857886808594,0.0005235824216285323
2649,100,5.830541272403119,0.009290455311896727,0.0009290455311896726,5.830823122094195,0.008856575823002803,0.0008856575823002803,0.0002818496910759194
2814,100,5.79331925119208,0.009390423501164818,0.0009390423501164818,5.792591011132181,0.008282547095436887,0.0008282547095436887,-0.0007282400598986882
2980,100,5.7505452385480655,0.008742867461810667,0.0008742867461810667,5.750947322042862,0.008418337046241377,0.0008418337046241376,0.00040208349479620153
3145,100,5.710376136377712,0.008220915697818168,0.0008220915697818168,5.709848540813913,0.008231068190630153,0.0008231068190630153,-0.0005275955637991103
3311,100,5.666987741308126,0.008817309250502945,0.0008817309250502946,5.667107547594165,0.008123694726454843,0.0008123694726454843,0.00011980628603946997
3476,100,5.624579244550965,0.007406830254350389,0.000740683025435039,5.624716857545286,0.007655145237256003,0.0007655145237256003,0.00013761299432069052
3642,100,5.580244925501163,0.008948769016120678,0.0008948769016120678,5.579676786984167,0.008166792400392704,0.0008166792400392704,-0.0005681385169964415
3807,100,5.53524957123988,0.009159347861509735,0.0009159347861509735,5.535104777934886,0.008679531190881043,0.0008679531190881043,-0.0001447933049938399
3973,100,5.489394524282688,0.00742760003614895,0.0007427600036148949,5.489718313884346,0.008311098493449232,0.0008311098493449232,0.0003237896016576869
4138,100,5.44240407717528,0.008701970971924853,0.0008701970971924853,5.441659518713676,0.007548698520340109,0.0007548698520340109,-0.0007445584616041501
4304,100,5.394872474015744,0.008227856706193314,0.0008227856706193315,5.394195610014986,0.007920417701112726,0.0007920417701112726,-0.0006768640007583926
4469,100,5.348592451775997,0.008826526857475665,0.0008826526857475664,5.347068613994566,0.007845474585603073,0.0007845474585603073,-0.001523837781431503
4635,100,5.298228090154302,0.007546687070055132,0.0007546687070055132,5.298361912356235,0.006175163936733477,0.0006175163936733477,0.00013382220193314254
4800,100,5.249147031741741,0.007535443328895785,0.0007535443328895785,5.247833945070722,0.008246005886836128,0.0008246005886836128,-0.0013130866710184819
4966,100,5.195296727787357,0.008263329151678269,0.0008263329151678269,5.19530182410864,0.007094611832008149,0.0007094611832008149,5.096321282316296e-06
5131,100,5.14411947208867,0.008053618412136606,0.0008053618412136607,5.145154013215643,0.007371073372508315,0.0007371073372508315,0.0010345411269723215
5297,100,5.094213467601884,0.0071092207655803425,0.0007109220765580342,5.093394710330652,0.0070292352960092735,0.0007029235296009274,-0.0008187572712321511
5462,100,5.0421147400695645,0.0075708426266890855,0.0007570842626689085,5.042760899949769,0.0073661542926123135,0.0007366154292612313,0.0006461598802047774
