n,k,M,matched_low_bits,modulus,samples,seed,residue_counts,residue_entropy_bits,entropy_ceiling_bits,forced_gap_from_balanced_max_bits,structured_position_entropy,structured_fourier_entropy,null_position_mean,null_position_std,null_position_sem,null_position_q025,null_position_median,null_position_q975,null_position_min,null_position_max,position_residual_deficit,position_standardized_deficit,position_null_count_at_or_below_structured,null_fourier_mean,null_fourier_std,null_fourier_sem,null_fourier_q025,null_fourier_median,null_fourier_q975,null_fourier_min,null_fourier_max,fourier_residual_deficit,fourier_standardized_deficit,fourier_null_count_at_or_below_structured,paired_null_fourier_minus_position_mean,paired_null_fourier_minus_position_std,cardinality_deficit_reduction_position,cardinality_deficit_reduction_fourier
14,1,1900,0,1,1000,2026082701,[1900],-0.0,7.0,0.0,4.899349105104682,4.910161079890872,5.99103030077017,0.010750741729103133,0.0003399683040018281,5.968836241394404,5.99081363404766,6.011864695572047,5.957923699081896,6.028077690172398,1.0916811956654877,101.5447327425063,0,5.991187573190435,0.01022067001748465,0.0003232059646824447,5.9715590717688904,5.99126115289378,6.010861788507942,5.954650246527716,6.023245030634753,1.0810264932995626,105.76865229483337,0,0.0001572724202637783,0.0073066785547659515,0.0,0.0
14,1,1900,1,2,1000,2026082738,"[1,1899]",0.006491631063628251,6.0064916310636285,0.9935083689363715,4.899349105104682,4.910161079890872,5.024230161120964,0.01143698639904028,0.00036166926589334674,5.00151023554801,5.024454381120827,5.046530725773227,4.98517038903978,5.059559407229441,0.12488105601628163,10.919052594725553,0,5.024602776068779,0.010332883532609822,0.00032675446760293766,5.003529285185031,5.025270318082914,5.044221573716,4.991324775160789,5.054070353255391,0.11444169617790667,11.075484961844104,0,0.0003726149478143368,0.008433077350925163,0.8856066619887555,0.8941360855749223
14,1,1900,2,4,1000,2026082775,"[0,941,1,958]",1.0059075363273555,6.0059075363273555,0.9940924636726445,4.899349105104682,4.910161079890872,5.024647546034761,0.011678793094438025,0.00036931586500270103,5.0011652091001935,5.025039045576266,5.046832725177812,4.98661912555809,5.060893115111609,0.12529844093007902,10.72871485237219,0,5.024800236548587,0.010153724938554818,0.0003210889754068645,5.003820354561989,5.02489054770183,5.044576574761089,4.987642693236863,5.061082955451189,0.11463915665771474,11.290354756648682,0,0.0001526905138264505,0.008069609281450408,0.8852243297516018,0.8939534254079126
14,1,1900,3,8,1000,2026082812,"[0,464,1,477,0,477,0,481]",2.0053066926594463,6.005306692659446,0.9946933073405537,4.899349105104682,4.910161079890872,5.026103248638546,0.011187488569741257,0.0003537794517748187,5.0042837794045,5.02650477872243,5.0476855913179435,4.98986487382042,5.059983193660254,0.12675414353386394,11.329990886131068,0,5.025912654349581,0.00974209557563018,0.00030807211202040527,5.005926181948025,5.026335993018755,5.044201443085179,4.996988450975824,5.05533150128194,0.11575157445870854,11.881588879938802,0,-0.0001905942889664951,0.008150671753021302,0.8838908794644991,0.8929243869820379
14,2,6092,0,1,1000,2026083701,[6092],-0.0,7.0,0.0,3.3840466196230876,3.4020618634009963,4.835700106201017,0.007099398163213536,0.00022450268212170592,4.821993097763897,4.835636478491828,4.850361046673272,4.809266299360028,4.856439240429778,1.4516534865779294,204.47557007013108,0,4.835816853083526,0.006719321045105005,0.00021248358832434805,4.822704807033519,4.835854249434865,4.848832407018406,4.810903170383209,4.856616792637798,1.4337549896825297,213.3779559062762,0,0.0001167468825083935,0.005087362187887344,0.0,0.0
14,2,6092,1,2,1000,2026083738,"[1029,5063]",0.6552053416179116,6.655205341617911,0.34479465838208867,3.3840466196230876,3.4020618634009963,3.8262126507380216,0.006367773342999702,0.00020136667387583677,3.8128689744237683,3.826307227253693,3.8379322484411653,3.801563504914126,3.8447429577510057,0.442166031114934,69.43809198250145,0,3.8259895003230353,0.005669073713077624,0.00017927185156713175,3.813646308599768,3.8260770036277676,3.836410396882067,3.807836373397566,3.8429255452883053,0.42392763692203905,74.77899536640483,0,-0.00022315041498614452,0.0043004985423128255,0.6954052498042913,0.7043235141480431
14,2,6092,2,4,1000,2026083775,"[1,2540,1028,2523]",1.4881678901905566,6.488167890190557,0.5118321098094434,3.3840466196230876,3.4020618634009963,3.6142472784896027,0.006194337866125666,0.00019588216253584265,3.601979204394651,3.614425788567705,3.6261555759360564,3.594866413807456,3.6348467703044154,0.23020065886651508,37.16307761082739,0,3.614293573680837,0.005572461764681473,0.00017621671350594688,3.6035845829636712,3.6142723636492553,3.624974300068686,3.595622156465538,3.6322658220152446,0.21223171027984078,38.08580825533437,0,4.629519123495207e-05,0.004448566814554992,0.8414217573305451,0.8519749107713066
14,2,6092,3,8,1000,2026083812,"[0,1271,510,1259,1,1269,518,1264]",2.4879950088790492,6.487995008879049,0.5120049911209508,3.3840466196230876,3.4020618634009963,3.6148940671159036,0.006453741653263212,0.00020408523054612398,3.602810491407265,3.6147086386795495,3.6273008368752815,3.595879729945308,3.634888233886257,0.23084744749281594,35.76955197394558,0,3.61528124130992,0.005749838116812396,0.00018182584626380465,3.6041933812794533,3.615256469095349,3.6264638310943713,3.5984398253909915,3.6331728026225125,0.21321937790892376,37.08267495139996,0,0.0003871741940170006,0.00450563886386292,0.8409762042889405,0.8512860429827442
14,3,10306,0,1,1000,2026084701,[10306],-0.0,7.0,0.0,1.9895171932561069,1.9970310402329638,3.236400625111052,0.004556934933581031,0.00014410293539304173,3.2271551788474415,3.2365079957904976,3.2452632451145518,3.221550185891522,3.249879125812633,1.246883431854945,273.6232687165212,0,3.236517758445884,0.004158205415019322,0.00013149400090306786,3.2287098005364867,3.236522792807649,3.2447314380298757,3.223291019262112,3.2488914243198366,1.2394867182129201,298.08212786600893,0,0.00011713333483196519,0.003234485907486009,0.0,0.0
14,3,10306,1,2,1000,2026084738,"[3215,7091]",0.895416384227397,6.895416384227397,0.10458361577260256,1.9895171932561069,1.9970310402329638,2.5793317538698965,0.0036341884061982075,0.0001149231280976352,2.571611589032556,2.579595997338841,2.5859177787255243,2.5675270280972224,2.5911229699212566,0.5898145606137897,162.2960877889118,0,2.579354396606055,0.0034897495092495305,0.00011035556912683356,2.5724602971023436,2.5794775761011843,2.5859247577597797,2.567994610032156,2.589758011759118,0.5823233563730912,166.86680658014325,0,2.2642736158072107e-05,0.0022792361582547743,0.5269689647440876,0.5301899182811096
