m,entropy_mean,entropy_std,entropy_sem,entropy_count,D_NM,T_NM
1,0.0,0.0,0.0,500,0.0,6.279211805637848
17,3.8515222689578126,0.1419323471271082,0.006347407527646218,500,3.9654383398434327,6.283919149896942
33,4.6137048092510495,0.13440938216868592,0.006010970306858596,500,4.806400841113026,6.286947182946086
49,5.006483522131736,0.11219092829639574,0.005017330842590911,500,5.266378663346069,6.289261090849117
66,5.257923209062771,0.10137682161346684,0.004533709289411635,500,5.584562684661963,6.291207701423349
82,5.439408834919537,0.09343511238269275,0.004178545255460667,500,5.797798894095243,6.292680536759061
98,5.555801855241812,0.0861720372930221,0.0038537306629368873,500,5.959567042466245,6.293875314029262
114,5.653066726751949,0.07778923476212066,0.0034788403369158294,500,6.086587225536913,6.294837652682134
130,5.726089396744022,0.07122729185818724,0.0031853813289624794,500,6.188856268211158,6.295600213670928
146,5.7882117531197865,0.06624146578531,0.0029624084085035926,500,6.272798765506981,6.296187546496266
163,5.83761488446821,0.06155194286176041,0.0027526865677215844,500,6.346751964011956,6.2966409183680065
179,5.875975929534303,0.05633524831837646,0.0025193888953844094,500,6.405217578695736,6.296923032638034
195,5.917577593620221,0.052279226197849055,0.002337998071789567,500,6.455134991277934,6.297077654038587
211,5.943233807098428,0.049741592407927256,0.002224511638664256,500,6.498145753710733,6.297115152378624
227,5.9637000587369995,0.04880250240865923,0.002182514257157185,500,6.535503960592324,6.297044319641409
243,5.988984862030789,0.04626805213346696,0.0020691701951387254,500,6.568184641771671,6.296872704873824
259,6.007732474113345,0.04279252901136091,0.0019137400759706971,500,6.59695725625389,6.296606860500842
276,6.02660873716377,0.03881287398581512,0.0017357644926883162,500,6.623931921576117,6.296227562605426
292,6.038872808723192,0.03696402088856225,0.0016530812685709474,500,6.646455399947397,6.295784754255541
308,6.052618439426722,0.037233282739565346,0.0016651230246227543,500,6.666611918803982,6.295263307394049
324,6.0591661964841,0.03736658467399116,0.001671084468360921,500,6.6847318913934,6.2946672366887135
340,6.075214019447035,0.03265184780177166,0.0014602350255147702,500,6.701089729844113,6.294000159645625
356,6.083784996827678,0.03424257144293431,0.0015313743494158834,500,6.715914951278311,6.293265352768248
372,6.089148149541948,0.03228155494893074,0.0014436750257040775,500,6.7294007595473095,6.292465797601653
389,6.097799725139372,0.028714051537088513,0.0012841314229272446,500,6.742444377560517,6.291548368963766
405,6.102312591780356,0.02880073173058834,0.0012880078790266137,500,6.753657186200775,6.290623624366331
421,6.107459330479922,0.029612503620415776,0.0013243114215841661,500,6.763959479790897,6.289641795016933
437,6.114167565149872,0.026107780371109928,0.0011675754330287298,500,6.773452747626978,6.28860499641854
453,6.11604304375683,0.026171251915504505,0.0011704139667867931,500,6.782224636172978,6.2875151889486975
469,6.121943827538085,0.026810092439163238,0.0011989837835404429,500,6.790351146392814,6.28637419431081
486,6.124597059553471,0.024560771241159855,0.0010983910815011062,500,6.798352268163269,6.285107697978213
502,6.125603307047668,0.023827189978913546,0.0010655843301130494,500,6.805347293167078,6.2838663647716135
518,6.129990375704355,0.024015724697879614,0.0010740158590675883,500,6.811874516033399,6.282578700007709
534,6.131276101423625,0.02294489239848516,0.0010261267827886202,500,6.817978150208859,6.281246089953296
550,6.1323051489714,0.022658142598707614,0.0010133029418918792,500,6.823697212786577,6.279869837675814
566,6.136005388819674,0.020881787373242214,0.0009338619211653272,500,6.829066238294143,6.278451170308396
582,6.1387023302249215,0.02079735391304596,0.0009300859420338402,500,6.834115881427647,6.27699124549287
599,6.139458108764906,0.020199577980692603,0.0009033525896327319,500,6.839161646340049,6.275396091964166
615,6.139798062622942,0.019929439213095042,0.0008912716166786086,500,6.843635461744424,6.273854462865564
631,6.141490754173092,0.01902279504276971,0.0008507252567535818,500,6.847864604287252,6.272274746272764
647,6.142881467037381,0.019197227988900264,0.0008585261352548513,500,6.85186848592622,6.270657870456439
663,6.142431966237366,0.019940197167141595,0.0008917527270095469,500,6.855664562139528,6.269004717686689
679,6.142500323988136,0.018575130000596872,0.0008307050674446063,500,6.859268565116814,6.267316127564521
