m,entropy_mean,entropy_std,entropy_sem,entropy_count,D_NM,T_NM
4966,5.196606031088452,0.00835065928010615,0.000835065928010615,100,6.9814703104235285,5.260637307938219
5131,5.144827888089918,0.007556103111384334,0.0007556103111384334,100,6.98206879928648,5.209158600243921
5297,5.094162642469733,0.007876175664981304,0.0007876175664981303,100,6.9826331263282775,5.156681382937185
5462,5.041435533805981,0.007643047525462626,0.0007643047525462625,100,6.983159918188312,5.103849359464568
5627,4.988265190050842,0.007445923008031781,0.0007445923008031781,100,6.983655689847204,5.0503588627772755
5793,4.933998009979959,0.006991685826134463,0.0006991685826134463,100,6.984125854351998,4.995889323056895
5958,4.8796681949839185,0.00661097845924823,0.000661097845924823,100,6.984567124076336,4.941105710933662
6124,4.82503271556216,0.007003177179257844,0.0007003177179257844,100,6.984986983603772,4.885351968945202
6289,4.770278389392021,0.0069532459846059535,0.0006953245984605953,100,6.9853822695812955,4.829307011895539
6455,4.71225427634711,0.006729217768562231,0.0006729217768562232,100,6.985759486992413,4.77229804667726
6620,4.656997225257123,0.006865470018782421,0.0006865470018782422,100,6.986115620379098,4.715017757823412
6786,4.597679046038232,0.006433533854050752,0.0006433533854050752,100,6.986456377374861,4.656777085990305
6951,4.540408325169529,0.006659201653505128,0.0006659201653505128,100,6.986778900317859,4.598282335545046
7117,4.482521721052067,0.006181154646740982,0.0006181154646740983,100,6.987088239037126,4.5388285508626955
7282,4.4225564432285775,0.006303241262080812,0.0006303241262080812,100,6.9873816948354,4.479135532475275
7448,4.362103121207999,0.006201913181371463,0.0006201913181371463,100,6.987663768707685,4.4184827115461
7613,4.301341243708401,0.0061540607943162086,0.0006154060794316209,100,6.987931917021639,4.357603288182177
7779,4.240798161967724,0.005724524634264657,0.0005724524634264657,100,6.988190178224636,4.295761285531975
7944,4.180238767150717,0.0057591385289247725,0.0005759138528924773,100,6.988436157332063,4.233703234161694
8110,4.116773159892654,0.00598130839153094,0.000598130839153094,100,6.988673499043437,4.170677882742324
8275,4.054830736195648,0.006500204233441596,0.0006500204233441596,100,6.9888999488445345,4.107445050814967
8441,3.9906045482720636,0.005126035994594393,0.0005126035994594393,100,6.9891188137425795,4.043238278351918
8606,3.9271483665955276,0.005251545748458932,0.0005251545748458932,100,6.989327971203008,3.97883066006582
8772,3.862106468205688,0.005495900429773536,0.0005495900429773536,100,6.989530435708371,3.913440527131225
8937,3.797898319177227,0.00557280645009448,0.000557280645009448,100,6.989724208716988,3.847854263319334
9103,3.732250299896912,0.00514006832496659,0.0005140068324966591,100,6.989912049831239,3.78127492502726
9268,3.6651001364361946,0.005286210639961769,0.0005286210639961769,100,6.990092075173512,3.7145022266526366
9434,3.597412751839139,0.0056820955278688206,0.0005682095527868821,100,6.990266821943217,3.6467238160682323
9599,3.5317076187092535,0.005673971452948772,0.0005673971452948772,100,6.990434512588502,3.578752807497221
9765,3.4641845885594464,0.00507571657469253,0.0005075716574692529,100,6.990597487948959,3.509761234866483
9930,3.394277615553315,0.004581048343893995,0.00045810483438939946,100,6.990754069662789,3.4405757088972364
10096,3.325285467876352,0.00465648752442992,0.00046564875244299196,100,6.990906424210175,3.370352366253611
10261,3.2553828203021897,0.004641671712438445,0.0004641671712438445,100,6.991052965336569,3.2999314379048386
10427,3.1849117705177252,0.004705676682561647,0.0004705676682561647,100,6.9911957045111155,3.228452793017769
10592,3.11434815134553,0.004193738805204899,0.0004193738805204899,100,6.991333140631245,3.156770432781835
10758,3.0421612047164848,0.004528600323861157,0.00045286003238611573,100,6.991467146970008,3.0840074891339517
10923,2.9707431018441985,0.004317571201110708,0.0004317571201110708,100,6.991596301282941,3.0110319079989076
11088,2.897376069440806,0.004269780289941011,0.0004269780289941011,100,6.991721604323149,2.9373977933384747
11254,2.8237945794453636,0.0037408134124449098,0.00037408134124449096,100,6.9918439514935375,2.8626423444606757
11419,2.7502116923434152,0.004391824745764068,0.00043918247457640675,100,6.991962029723313,2.787654775417827
11585,2.6742089372926743,0.0038711035485842174,0.00038711035485842175,100,6.992077422965933,2.7115135216844397
11750,2.5989503266187604,0.0038700302420424724,0.00038700302420424724,100,6.992188883917867,2.6351222586858474
11916,2.5218330629458987,0.0035523188022943335,0.00035523188022943336,100,6.992297899627869,2.5575399435933357
12081,2.4450552652184867,0.0043157180498497585,0.00043157180498497587,100,6.992403284478231,2.4796849289551317
12247,2.36643185067219,0.003410629378021424,0.0003410629378021424,100,6.992506437268678,2.400595441453167
12412,2.2880041404706017,0.0030442541171227565,0.00030442541171227564,100,6.992606229570115,2.321204703940268
12578,2.2088368306831514,0.0034426551059488567,0.00034426551059488567,100,6.992703979896049,2.240528631308275
12743,2.128751942309468,0.003808290742728951,0.0003808290742728951,100,6.992798613171968,2.159515449631814
12909,2.047284195036431,0.0028714270864638,0.00028714270864637996,100,6.992891374724223,2.07715673226971
13074,1.965105802050562,0.0030895059844867046,0.00030895059844867045,100,6.9929812391603035,1.9944157148548547
13240,1.8821061803957209,0.003120581714650985,0.0003120581714650985,100,6.99306938434613,1.910256966197831
13405,1.7989421648567991,0.0026656891346530627,0.0002665689134653063,100,6.993154831403178,1.8256584917949954
13571,1.713496912390835,0.0023123337009575903,0.00023123337009575904,100,6.993238696089471,1.7395542607526038
13736,1.6277951220662499,0.002532445093628243,0.0002532445093628243,100,6.993320043942342,1.652936340218761
13902,1.5408820001505787,0.0025962931838873792,0.00025962931838873795,100,6.993399932735813,1.5647030631243282
14067,1.4529427219151296,0.002398145850915285,0.00023981458509152848,100,6.99347746922109,1.4758589479763822
14233,1.3636175290441195,0.002492147371273207,0.0002492147371273207,100,6.99355365862606,1.385259288738576
14398,1.2732371033791876,0.002280704199956099,0.0002280704199956099,100,6.993627645399489,1.2939176456665762
14564,1.1815360452561254,0.002103372400627585,0.0002103372400627585,100,6.993700386205419,1.2006346831274712
14729,1.0884691627756338,0.0018962241485181621,0.00018962241485181622,100,6.993771061542009,1.1064257821087242
14895,0.9930448846239812,0.0019020414913442057,0.00019020414913442058,100,6.9938405829709245,1.0100172179190305
15060,0.8967166800191921,0.0014937834743285296,0.00014937834743285297,100,6.993908164559761,0.9124101235324613
15226,0.7975624505254417,0.0015025033421202265,0.00015025033421202266,100,6.9939746754949,0.8122184416115092
15391,0.6971593544696418,0.0013244170396743144,0.00013244170396743145,100,6.9940393617633525,0.7103893890315556
15557,0.5936962799839691,0.001319250956585812,0.0001319250956585812,100,6.994103053603048,0.6053375828240283
15722,0.48741083525448176,0.0011300644931680232,0.00011300644931680232,100,6.994165027257382,0.4978379474003585
15888,0.3767969061084709,0.0009564655398294376,9.564655398294376e-05,100,6.994226075587178,0.38583767877788383
16053,0.26179991361724986,0.0010093034909560278,0.00010093034909560278,100,6.994285503098931,0.26942211781373826
16219,0.13812656897192827,0.0007682950127185838,7.682950127185838e-05,100,6.994344069384434,0.14449319342439346
16384,0.0,0.0,0.0,100,6.994401104875508,0.0
