family,n,M,seed,count,mean,std,minimum,maximum
background,14,716,20250605,10000,6.1431882861774705,0.01792368157844013,6.06697749743971,6.198635529561884
selected,14,716,541,1716,6.145893791941453,0.016727229468664107,6.085708649648558,6.201464313310133
