n,M,family,sample,entropy
10,107,random_subsets_natural_partition,0,4.1577041647092665
10,107,random_subsets_natural_partition,1,4.067618061506241
10,107,random_subsets_natural_partition,2,4.063874967071281
10,107,random_subsets_natural_partition,3,4.080462324186493
10,107,random_subsets_natural_partition,4,4.138949962334309
10,107,random_subsets_natural_partition,5,4.107009217174189
10,107,random_subsets_natural_partition,6,4.204137507947411
10,107,random_subsets_natural_partition,7,4.105319140082815
10,107,random_subsets_natural_partition,8,4.119669612665789
10,107,random_subsets_natural_partition,9,4.078649147056892
10,107,random_subsets_natural_partition,10,4.095902962483329
10,107,random_subsets_natural_partition,11,3.955537334648239
10,107,random_subsets_natural_partition,12,4.140042064450899
10,107,random_subsets_natural_partition,13,3.967195126973294
10,107,random_subsets_natural_partition,14,4.062913376674024
10,107,random_subsets_natural_partition,15,3.995859671993283
10,107,random_subsets_natural_partition,16,4.0546372610459755
10,107,random_subsets_natural_partition,17,4.0920451650243885
10,107,random_subsets_natural_partition,18,4.05945508720383
10,107,random_subsets_natural_partition,19,4.066772489103435
10,107,random_subsets_natural_partition,20,3.9552508260889203
10,107,random_subsets_natural_partition,21,3.9533346464801227
10,107,random_subsets_natural_partition,22,4.111913278442046
10,107,random_subsets_natural_partition,23,3.992517218557075
10,107,random_subsets_natural_partition,24,4.21190007671568
10,107,random_subsets_natural_partition,25,4.100383758039432
10,107,random_subsets_natural_partition,26,4.056079779211761
10,107,random_subsets_natural_partition,27,4.0219448064851395
10,107,random_subsets_natural_partition,28,4.090382115134875
10,107,random_subsets_natural_partition,29,4.153554455457041
10,107,random_subsets_natural_partition,30,4.070160454462981
10,107,random_subsets_natural_partition,31,4.07628079760334
10,107,random_subsets_natural_partition,32,4.10392379566475
10,107,random_subsets_natural_partition,33,4.149767519166089
10,107,random_subsets_natural_partition,34,4.101525945525146
10,107,random_subsets_natural_partition,35,4.069847903899517
10,107,random_subsets_natural_partition,36,4.119543142541976
10,107,random_subsets_natural_partition,37,4.0149421346040866
10,107,random_subsets_natural_partition,38,4.08394430629475
10,107,random_subsets_natural_partition,39,4.09535511583258
10,107,random_subsets_natural_partition,40,3.997145858104528
10,107,random_subsets_natural_partition,41,4.064246114013307
10,107,random_subsets_natural_partition,42,3.975175123206589
10,107,random_subsets_natural_partition,43,4.082580867444926
10,107,random_subsets_natural_partition,44,4.00728939750372
10,107,random_subsets_natural_partition,45,4.1420772062122415
10,107,random_subsets_natural_partition,46,4.197899220569033
10,107,random_subsets_natural_partition,47,4.0973050427175535
10,107,random_subsets_natural_partition,48,4.01069028846512
10,107,random_subsets_natural_partition,49,4.027452796512566
10,107,random_subsets_natural_partition,50,4.032798499075426
10,107,random_subsets_natural_partition,51,4.174251278384674
10,107,random_subsets_natural_partition,52,4.068815062190885
10,107,random_subsets_natural_partition,53,4.0337527505299065
10,107,random_subsets_natural_partition,54,4.1006541590755665
10,107,random_subsets_natural_partition,55,4.122743741033336
10,107,random_subsets_natural_partition,56,4.044304895835282
10,107,random_subsets_natural_partition,57,4.0697430521661095
10,107,random_subsets_natural_partition,58,4.023871757341516
10,107,random_subsets_natural_partition,59,3.953976282196062
10,107,random_subsets_natural_partition,60,4.080953959878368
10,107,random_subsets_natural_partition,61,4.087956308749622
10,107,random_subsets_natural_partition,62,4.090408949385977
10,107,random_subsets_natural_partition,63,4.053897500699625
10,107,random_subsets_natural_partition,64,3.9823096821732493
10,107,random_subsets_natural_partition,65,4.1099582443503815
10,107,random_subsets_natural_partition,66,3.9965195736411205
10,107,random_subsets_natural_partition,67,4.073790670992651
10,107,random_subsets_natural_partition,68,4.093553853622994
10,107,random_subsets_natural_partition,69,4.060776455188594
10,107,random_subsets_natural_partition,70,3.944128519430047
10,107,random_subsets_natural_partition,71,4.0070073151678285
10,107,random_subsets_natural_partition,72,3.989818183888227
10,107,random_subsets_natural_partition,73,4.080191536421811
10,107,random_subsets_natural_partition,74,3.899315288579905
10,107,random_subsets_natural_partition,75,4.107690696270824
10,107,random_subsets_natural_partition,76,4.092549812256401
10,107,random_subsets_natural_partition,77,4.000448067855206
10,107,random_subsets_natural_partition,78,4.1803044451522045
10,107,random_subsets_natural_partition,79,4.161293285257209
10,107,random_subsets_natural_partition,80,4.078920994504862
10,107,random_subsets_natural_partition,81,4.096896321412775
10,107,random_subsets_natural_partition,82,4.054908097356425
10,107,random_subsets_natural_partition,83,4.049342347276597
10,107,random_subsets_natural_partition,84,4.124782213568608
10,107,random_subsets_natural_partition,85,4.086639012388192
10,107,random_subsets_natural_partition,86,4.101890105464591
10,107,random_subsets_natural_partition,87,4.104761426014581
10,107,random_subsets_natural_partition,88,4.074342007071176
10,107,random_subsets_natural_partition,89,4.135649378914544
10,107,random_subsets_natural_partition,90,4.142093956402753
10,107,random_subsets_natural_partition,91,4.006112152776311
