n,M,family,sample,entropy
10,107,random_subsets_natural_partition,92,4.033874441506273
10,107,random_subsets_natural_partition,93,4.150863001571282
10,107,random_subsets_natural_partition,94,4.120246766737419
10,107,random_subsets_natural_partition,95,4.162910933402394
10,107,random_subsets_natural_partition,96,3.9888122841181577
10,107,random_subsets_natural_partition,97,4.124951826829576
10,107,random_subsets_natural_partition,98,4.160322932480227
10,107,random_subsets_natural_partition,99,4.042010790199856
10,107,random_subsets_natural_partition,100,4.026675677087348
10,107,random_subsets_natural_partition,101,3.993367864323624
10,107,random_subsets_natural_partition,102,4.046826179100862
10,107,random_subsets_natural_partition,103,4.096073193760471
10,107,random_subsets_natural_partition,104,4.0168677797441426
10,107,random_subsets_natural_partition,105,4.015489020257523
10,107,random_subsets_natural_partition,106,3.969440094020096
10,107,random_subsets_natural_partition,107,4.064283764693932
10,107,random_subsets_natural_partition,108,4.074663610886583
10,107,random_subsets_natural_partition,109,4.0477894430441825
10,107,random_subsets_natural_partition,110,4.0615635187838315
10,107,random_subsets_natural_partition,111,4.131815081845057
10,107,random_subsets_natural_partition,112,4.159776744914407
10,107,random_subsets_natural_partition,113,4.1166935742910615
10,107,random_subsets_natural_partition,114,4.176496578673885
10,107,random_subsets_natural_partition,115,4.011435046722192
10,107,random_subsets_natural_partition,116,4.091881829853403
10,107,random_subsets_natural_partition,117,4.12494996165487
10,107,random_subsets_natural_partition,118,4.117125629016893
10,107,random_subsets_natural_partition,119,4.0893789773820455
10,107,random_subsets_natural_partition,120,4.120577189325765
10,107,random_subsets_natural_partition,121,4.158187594837734
10,107,random_subsets_natural_partition,122,3.986028360851746
10,107,random_subsets_natural_partition,123,4.1177362869084435
10,107,random_subsets_natural_partition,124,4.074914647716551
10,107,random_subsets_natural_partition,125,4.108337802142639
10,107,random_subsets_natural_partition,126,4.117865378972008
10,107,random_subsets_natural_partition,127,3.9058955403398383
10,107,random_subsets_natural_partition,128,4.166441301583916
10,107,random_subsets_natural_partition,129,3.9857575964157936
10,107,random_subsets_natural_partition,130,4.108235407050905
10,107,random_subsets_natural_partition,131,4.040914442442808
10,107,random_subsets_natural_partition,132,4.0646171826892425
10,107,random_subsets_natural_partition,133,4.092824995505252
10,107,random_subsets_natural_partition,134,4.1316836421567515
10,107,random_subsets_natural_partition,135,4.191756226157148
10,107,random_subsets_natural_partition,136,4.102415674903343
10,107,random_subsets_natural_partition,137,4.142263912575359
10,107,random_subsets_natural_partition,138,4.135471603145442
10,107,random_subsets_natural_partition,139,4.073278274556289
10,107,random_subsets_natural_partition,140,4.092478495774583
10,107,random_subsets_natural_partition,141,4.067219861394941
10,107,random_subsets_natural_partition,142,3.9893656006954763
10,107,random_subsets_natural_partition,143,4.137740994717752
10,107,random_subsets_natural_partition,144,3.958037802851951
10,107,random_subsets_natural_partition,145,3.993203286850179
10,107,random_subsets_natural_partition,146,3.9804767460927146
10,107,random_subsets_natural_partition,147,4.128708404172155
10,107,random_subsets_natural_partition,148,4.097225480284752
10,107,random_subsets_natural_partition,149,4.038329959310877
10,107,random_subsets_natural_partition,150,4.101471927974798
10,107,random_subsets_natural_partition,151,4.039689755968859
10,107,random_subsets_natural_partition,152,4.073225697505263
10,107,random_subsets_natural_partition,153,4.153411418406733
10,107,random_subsets_natural_partition,154,4.127084373020721
10,107,random_subsets_natural_partition,155,4.155050951316324
10,107,random_subsets_natural_partition,156,4.152937730046919
10,107,random_subsets_natural_partition,157,4.069740581007619
10,107,random_subsets_natural_partition,158,4.028967272294719
10,107,random_subsets_natural_partition,159,4.031783673232142
10,107,random_subsets_natural_partition,160,4.044312078902465
10,107,random_subsets_natural_partition,161,4.036989533866229
10,107,random_subsets_natural_partition,162,4.077001929922946
10,107,random_subsets_natural_partition,163,4.172366882174206
10,107,random_subsets_natural_partition,164,4.141595875699787
10,107,random_subsets_natural_partition,165,4.056645772275036
10,107,random_subsets_natural_partition,166,4.110484893008616
10,107,random_subsets_natural_partition,167,4.086085345745562
10,107,random_subsets_natural_partition,168,4.008833175072971
10,107,random_subsets_natural_partition,169,4.041251030302711
10,107,random_subsets_natural_partition,170,4.033779536870021
10,107,random_subsets_natural_partition,171,3.9584344220570005
10,107,random_subsets_natural_partition,172,4.0642396909775265
10,107,random_subsets_natural_partition,173,4.061274763916185
10,107,random_subsets_natural_partition,174,4.104957701603932
10,107,random_subsets_natural_partition,175,4.117369272137687
10,107,random_subsets_natural_partition,176,4.155651762398283
10,107,random_subsets_natural_partition,177,3.953888879608804
10,107,random_subsets_natural_partition,178,4.138509085353246
10,107,random_subsets_natural_partition,179,4.171664616122585
10,107,random_subsets_natural_partition,180,4.060124041408185
10,107,random_subsets_natural_partition,181,4.053346674238035
10,107,random_subsets_natural_partition,182,4.084863632983577
10,107,random_subsets_natural_partition,183,4.126685579052808
10,107,random_subsets_natural_partition,184,4.025555864083567
10,107,random_subsets_natural_partition,185,3.982032540004536
10,107,random_subsets_natural_partition,186,4.06240439723927
10,107,random_subsets_natural_partition,187,4.003347128602963
10,107,random_subsets_natural_partition,188,4.101220829663405
10,107,random_subsets_natural_partition,189,4.043734047219258
10,107,random_subsets_natural_partition,190,4.016836041478523
10,107,random_subsets_natural_partition,191,3.968137512548477
10,107,random_subsets_natural_partition,192,4.164648515534239
10,107,random_subsets_natural_partition,193,3.9127956264304333
10,107,random_subsets_natural_partition,194,4.109325139201782
10,107,random_subsets_natural_partition,195,4.044184391795625
10,107,random_subsets_natural_partition,196,3.999431998273493
10,107,random_subsets_natural_partition,197,4.1711768327615
10,107,random_subsets_natural_partition,198,4.0168590943376605
10,107,random_subsets_natural_partition,199,4.059840174562604
10,107,random_subsets_natural_partition,200,4.154006675809784
10,107,random_subsets_natural_partition,201,4.032451990919698
10,107,random_subsets_natural_partition,202,4.014602119304505
10,107,random_subsets_natural_partition,203,3.9997422014299104
10,107,random_subsets_natural_partition,204,4.046987406102158
10,107,random_subsets_natural_partition,205,4.078520944950291
10,107,random_subsets_natural_partition,206,3.9421381946508927
10,107,random_subsets_natural_partition,207,4.212101256863955
10,107,random_subsets_natural_partition,208,4.022960731173948
10,107,random_subsets_natural_partition,209,4.038205148527938
10,107,random_subsets_natural_partition,210,4.087402250465053
10,107,random_subsets_natural_partition,211,4.081805737853512
10,107,random_subsets_natural_partition,212,4.063345913106205
10,107,random_subsets_natural_partition,213,4.014562374126043
10,107,random_subsets_natural_partition,214,4.1123635579632465
10,107,random_subsets_natural_partition,215,4.100995056341591
10,107,random_subsets_natural_partition,216,4.132081512094843
10,107,random_subsets_natural_partition,217,4.172196895127438
10,107,random_subsets_natural_partition,218,4.1074019221896725
10,107,random_subsets_natural_partition,219,4.074293408035562
10,107,random_subsets_natural_partition,220,4.034777757782495
10,107,random_subsets_natural_partition,221,4.100886543922781
10,107,random_subsets_natural_partition,222,4.042370974039259
10,107,random_subsets_natural_partition,223,4.057492747242851
10,107,random_subsets_natural_partition,224,3.938339514575796
10,107,random_subsets_natural_partition,225,4.13646468225382
10,107,random_subsets_natural_partition,226,4.146823403350391
10,107,random_subsets_natural_partition,227,4.080136447547474
10,107,random_subsets_natural_partition,228,4.123152873092403
10,107,random_subsets_natural_partition,229,4.055331939541063
10,107,random_subsets_natural_partition,230,3.9882816495082816
10,107,random_subsets_natural_partition,231,4.081423420458365
10,107,random_subsets_natural_partition,232,4.069997413043001
10,107,random_subsets_natural_partition,233,4.077751059020265
10,107,random_subsets_natural_partition,234,4.005725826771542
10,107,random_subsets_natural_partition,235,4.146891331473538
10,107,random_subsets_natural_partition,236,4.037170119201383
10,107,random_subsets_natural_partition,237,3.9798911892533466
10,107,random_subsets_natural_partition,238,4.05069655006723
10,107,random_subsets_natural_partition,239,4.121707406310413
10,107,random_subsets_natural_partition,240,4.1195204709697775
10,107,random_subsets_natural_partition,241,4.08068229083971
10,107,random_subsets_natural_partition,242,4.015478756344028
10,107,random_subsets_natural_partition,243,4.128440632707463
10,107,random_subsets_natural_partition,244,4.10671699508674
10,107,random_subsets_natural_partition,245,4.138708745893535
10,107,random_subsets_natural_partition,246,4.179861151184628
10,107,random_subsets_natural_partition,247,4.091453213375483
10,107,random_subsets_natural_partition,248,4.1823040028623995
10,107,random_subsets_natural_partition,249,3.992618488976505
10,107,random_subsets_natural_partition,250,4.003411273613189
10,107,random_subsets_natural_partition,251,4.003073718839899
10,107,random_subsets_natural_partition,252,4.087018021023232
10,107,random_subsets_natural_partition,253,4.0556555478134415
10,107,random_subsets_natural_partition,254,4.160699122629323
10,107,random_subsets_natural_partition,255,4.041801086122131
10,107,random_subsets_natural_partition,256,4.113932929492037
10,107,random_subsets_natural_partition,257,3.874412471320502
10,107,random_subsets_natural_partition,258,4.072396653159154
10,107,random_subsets_natural_partition,259,4.005098606712707
10,107,random_subsets_natural_partition,260,4.002903118784749
10,107,random_subsets_natural_partition,261,4.065529713571975
10,107,random_subsets_natural_partition,262,3.9736927721907587
10,107,random_subsets_natural_partition,263,4.178208683558174
10,107,random_subsets_natural_partition,264,4.156780199487532
10,107,random_subsets_natural_partition,265,4.095169478383447
10,107,random_subsets_natural_partition,266,4.145312500641436
10,107,random_subsets_natural_partition,267,4.137270090486829
10,107,random_subsets_natural_partition,268,4.18789696865953
10,107,random_subsets_natural_partition,269,4.158164537828713
10,107,random_subsets_natural_partition,270,4.136798330786871
10,107,random_subsets_natural_partition,271,4.1607902421307665
10,107,random_subsets_natural_partition,272,4.035913804817584
10,107,random_subsets_natural_partition,273,4.091744762665937
10,107,random_subsets_natural_partition,274,4.144764473812259
10,107,random_subsets_natural_partition,275,4.034751456254109
10,107,random_subsets_natural_partition,276,4.07320165976702
10,107,random_subsets_natural_partition,277,4.0397944204737755
10,107,random_subsets_natural_partition,278,4.0905620159424165
10,107,random_subsets_natural_partition,279,4.145371439350759
10,107,random_subsets_natural_partition,280,4.0929902142088945
10,107,random_subsets_natural_partition,281,3.977799897433087
10,107,random_subsets_natural_partition,282,3.9756584929425594
10,107,random_subsets_natural_partition,283,3.8893997248281273
10,107,random_subsets_natural_partition,284,4.094971654771733
10,107,random_subsets_natural_partition,285,3.939731090175084
10,107,random_subsets_natural_partition,286,4.126066293216304
10,107,random_subsets_natural_partition,287,4.1218575606253065
10,107,random_subsets_natural_partition,288,3.982746362709875
10,107,random_subsets_natural_partition,289,4.019795493434162
10,107,random_subsets_natural_partition,290,4.099490058905227
10,107,random_subsets_natural_partition,291,3.989949671393728
10,107,random_subsets_natural_partition,292,3.944677790065621
10,107,random_subsets_natural_partition,293,4.1716138187347624
10,107,random_subsets_natural_partition,294,4.090150151878068
10,107,random_subsets_natural_partition,295,4.15847855328473
10,107,random_subsets_natural_partition,296,4.04549640605728
10,107,random_subsets_natural_partition,297,4.111574909943768
10,107,random_subsets_natural_partition,298,4.17703813222258
10,107,random_subsets_natural_partition,299,4.08769719646207
10,107,random_subsets_natural_partition,300,4.058012570728476
10,107,random_subsets_natural_partition,301,4.064927583796164
10,107,random_subsets_natural_partition,302,4.084385449159169
10,107,random_subsets_natural_partition,303,4.108744903657828
10,107,random_subsets_natural_partition,304,4.09496572421082
10,107,random_subsets_natural_partition,305,4.030381986831417
10,107,random_subsets_natural_partition,306,4.0898812863126865
10,107,random_subsets_natural_partition,307,4.029164114259824
10,107,random_subsets_natural_partition,308,4.134191261362356
10,107,random_subsets_natural_partition,309,4.044012714199507
10,107,random_subsets_natural_partition,310,4.202459209106539
10,107,random_subsets_natural_partition,311,4.09700187412678
10,107,random_subsets_natural_partition,312,4.083690884750984
10,107,random_subsets_natural_partition,313,4.116532931618066
10,107,random_subsets_natural_partition,314,3.960500952246014
10,107,random_subsets_natural_partition,315,4.095235300767119
10,107,random_subsets_natural_partition,316,4.157535862082419
10,107,random_subsets_natural_partition,317,4.056242297863291
10,107,random_subsets_natural_partition,318,4.057726993941181
10,107,random_subsets_natural_partition,319,4.123800804634284
10,107,random_subsets_natural_partition,320,4.16617920524788
10,107,random_subsets_natural_partition,321,4.007378790982179
10,107,random_subsets_natural_partition,322,4.059751468164362
10,107,random_subsets_natural_partition,323,4.10048272631205
10,107,random_subsets_natural_partition,324,4.032380137941059
10,107,random_subsets_natural_partition,325,4.0665687150509795
10,107,random_subsets_natural_partition,326,4.190587504948631
10,107,random_subsets_natural_partition,327,4.045843281776038
10,107,random_subsets_natural_partition,328,4.061085673973103
10,107,random_subsets_natural_partition,329,4.142769634919613
10,107,random_subsets_natural_partition,330,4.153523187754777
10,107,random_subsets_natural_partition,331,4.030106902266278
10,107,random_subsets_natural_partition,332,4.0753292399951855
10,107,random_subsets_natural_partition,333,4.028031631026098
10,107,random_subsets_natural_partition,334,4.096259664418174
10,107,random_subsets_natural_partition,335,3.969860028556351
10,107,random_subsets_natural_partition,336,4.0424140187744415
10,107,random_subsets_natural_partition,337,4.072738957114298
10,107,random_subsets_natural_partition,338,4.031346788848967
10,107,random_subsets_natural_partition,339,3.8460147132783002
10,107,random_subsets_natural_partition,340,4.22382230428452
10,107,random_subsets_natural_partition,341,4.028113704856404
10,107,random_subsets_natural_partition,342,4.138801916684335
10,107,random_subsets_natural_partition,343,4.0426267605937305
10,107,random_subsets_natural_partition,344,4.007199498557411
10,107,random_subsets_natural_partition,345,4.061943177774653
10,107,random_subsets_natural_partition,346,4.06588335500873
10,107,random_subsets_natural_partition,347,4.048018944711372
10,107,random_subsets_natural_partition,348,4.049038909728418
10,107,random_subsets_natural_partition,349,4.0847652678536175
10,107,random_subsets_natural_partition,350,4.105779082096183
10,107,random_subsets_natural_partition,351,3.9823586313269077
10,107,random_subsets_natural_partition,352,4.022096054253725
10,107,random_subsets_natural_partition,353,4.082391288538434
10,107,random_subsets_natural_partition,354,4.10232510921281
10,107,random_subsets_natural_partition,355,4.076569264850734
10,107,random_subsets_natural_partition,356,4.129156203426195
10,107,random_subsets_natural_partition,357,4.109874709207014
10,107,random_subsets_natural_partition,358,3.929174577610939
10,107,random_subsets_natural_partition,359,3.990686842635543
10,107,random_subsets_natural_partition,360,4.027151714482813
10,107,random_subsets_natural_partition,361,3.9251275197555056
10,107,random_subsets_natural_partition,362,4.090733167276747
10,107,random_subsets_natural_partition,363,4.017779529333277
10,107,random_subsets_natural_partition,364,4.072722765303606
10,107,random_subsets_natural_partition,365,3.8760482105887335
10,107,random_subsets_natural_partition,366,4.056704125462517
10,107,random_subsets_natural_partition,367,4.166810552066899
10,107,random_subsets_natural_partition,368,4.103427892992413
10,107,random_subsets_natural_partition,369,4.0656108330347065
10,107,random_subsets_natural_partition,370,4.186127434256591
10,107,random_subsets_natural_partition,371,4.104873135586206
10,107,random_subsets_natural_partition,372,4.106814768329773
10,107,random_subsets_natural_partition,373,4.1602950825415945
10,107,random_subsets_natural_partition,374,4.070156521455027
10,107,random_subsets_natural_partition,375,4.06442560542493
10,107,random_subsets_natural_partition,376,4.200679871796992
10,107,random_subsets_natural_partition,377,4.05975449994143
10,107,random_subsets_natural_partition,378,4.04672218092913
10,107,random_subsets_natural_partition,379,4.005127368680615
10,107,random_subsets_natural_partition,380,4.0530663855619276
10,107,random_subsets_natural_partition,381,4.140864909743597
10,107,random_subsets_natural_partition,382,4.100274657187778
10,107,random_subsets_natural_partition,383,4.051668120351663
10,107,random_subsets_natural_partition,384,3.9252788964182317
10,107,random_subsets_natural_partition,385,4.035482566555464
10,107,random_subsets_natural_partition,386,4.094628327281314
10,107,random_subsets_natural_partition,387,4.027184440377154
10,107,random_subsets_natural_partition,388,4.092896096046715
10,107,random_subsets_natural_partition,389,4.057441132475058
10,107,random_subsets_natural_partition,390,4.158383206604228
10,107,random_subsets_natural_partition,391,4.035074395685502
10,107,random_subsets_natural_partition,392,4.062366626243577
10,107,random_subsets_natural_partition,393,4.018380378691843
10,107,random_subsets_natural_partition,394,4.090735158615922
10,107,random_subsets_natural_partition,395,4.135544533728097
10,107,random_subsets_natural_partition,396,4.031092208697003
10,107,random_subsets_natural_partition,397,3.985854128419482
10,107,random_subsets_natural_partition,398,3.909330015840418
10,107,random_subsets_natural_partition,399,4.134547615554038
10,107,random_subsets_natural_partition,400,4.113904392127465
10,107,random_subsets_natural_partition,401,4.063320931315853
10,107,random_subsets_natural_partition,402,4.012715725914241
10,107,random_subsets_natural_partition,403,4.09723938224492
10,107,random_subsets_natural_partition,404,4.129057935861746
10,107,random_subsets_natural_partition,405,4.1092829232226435
10,107,random_subsets_natural_partition,406,4.018703664042716
10,107,random_subsets_natural_partition,407,4.072885804433278
10,107,random_subsets_natural_partition,408,4.097071162419118
10,107,random_subsets_natural_partition,409,3.9113290698059626
10,107,random_subsets_natural_partition,410,4.039418349344239
10,107,random_subsets_natural_partition,411,4.081916127884993
10,107,random_subsets_natural_partition,412,3.9585493931884406
10,107,random_subsets_natural_partition,413,4.197874996817733
10,107,random_subsets_natural_partition,414,4.05175011031723
10,107,random_subsets_natural_partition,415,4.017019339716186
10,107,random_subsets_natural_partition,416,4.083613463950688
10,107,random_subsets_natural_partition,417,4.127117519651522
10,107,random_subsets_natural_partition,418,3.958094490491369
10,107,random_subsets_natural_partition,419,4.185923707670014
10,107,random_subsets_natural_partition,420,4.1200940950361336
10,107,random_subsets_natural_partition,421,3.9725851391144875
10,107,random_subsets_natural_partition,422,4.114627022258686
10,107,random_subsets_natural_partition,423,4.095215540652732
10,107,random_subsets_natural_partition,424,4.088770849863723
10,107,random_subsets_natural_partition,425,4.103942648208914
10,107,random_subsets_natural_partition,426,4.03230280254477
10,107,random_subsets_natural_partition,427,4.161610350902352
10,107,random_subsets_natural_partition,428,4.107860539411867
10,107,random_subsets_natural_partition,429,4.04672548602911
10,107,random_subsets_natural_partition,430,4.07478617794442
10,107,random_subsets_natural_partition,431,4.142135101165826
10,107,random_subsets_natural_partition,432,4.0525850004570865
10,107,random_subsets_natural_partition,433,4.120594213650795
10,107,random_subsets_natural_partition,434,4.050201272023397
10,107,random_subsets_natural_partition,435,4.095609815204035
10,107,random_subsets_natural_partition,436,4.060739093784123
10,107,random_subsets_natural_partition,437,4.09205002608841
10,107,random_subsets_natural_partition,438,4.11804832210197
10,107,random_subsets_natural_partition,439,4.0197113019391635
10,107,random_subsets_natural_partition,440,3.954196604974463
10,107,random_subsets_natural_partition,441,4.132483319872031
10,107,random_subsets_natural_partition,442,3.9496651337835087
10,107,random_subsets_natural_partition,443,4.065445091024294
10,107,random_subsets_natural_partition,444,4.01154838724315
10,107,random_subsets_natural_partition,445,4.0994117145366396
10,107,random_subsets_natural_partition,446,4.101230769818923
10,107,random_subsets_natural_partition,447,4.070367965043697
10,107,random_subsets_natural_partition,448,4.026128671538487
10,107,random_subsets_natural_partition,449,4.004545322810924
10,107,random_subsets_natural_partition,450,3.982168159917225
10,107,random_subsets_natural_partition,451,4.127580304117776
10,107,random_subsets_natural_partition,452,4.0281720541080395
10,107,random_subsets_natural_partition,453,4.130448007690062
10,107,random_subsets_natural_partition,454,4.116200454659166
10,107,random_subsets_natural_partition,455,4.022413961939282
10,107,random_subsets_natural_partition,456,4.131130293848522
10,107,random_subsets_natural_partition,457,4.0799009937588675
10,107,random_subsets_natural_partition,458,4.151745901080708
10,107,random_subsets_natural_partition,459,3.996167842429168
10,107,random_subsets_natural_partition,460,4.119067983840031
10,107,random_subsets_natural_partition,461,3.9112191599096726
10,107,random_subsets_natural_partition,462,4.128748298733806
10,107,random_subsets_natural_partition,463,4.0924860257191265
10,107,random_subsets_natural_partition,464,4.065418882562426
10,107,random_subsets_natural_partition,465,4.054781341083039
10,107,random_subsets_natural_partition,466,4.138836242324291
10,107,random_subsets_natural_partition,467,4.126382967258557
10,107,random_subsets_natural_partition,468,3.9393604975317724
10,107,random_subsets_natural_partition,469,3.94934535124571
10,107,random_subsets_natural_partition,470,4.062144135223347
10,107,random_subsets_natural_partition,471,4.006231065867592
10,107,random_subsets_natural_partition,472,4.048446428784948
10,107,random_subsets_natural_partition,473,4.152470747148896
10,107,random_subsets_natural_partition,474,3.9966894676488813
10,107,random_subsets_natural_partition,475,4.131313408924931
10,107,random_subsets_natural_partition,476,4.009751095632131
10,107,random_subsets_natural_partition,477,4.0553390698553535
10,107,random_subsets_natural_partition,478,4.151700102808561
10,107,random_subsets_natural_partition,479,4.113651205409714
10,107,random_subsets_natural_partition,480,3.990584756672867
10,107,random_subsets_natural_partition,481,4.0386764053058455
10,107,random_subsets_natural_partition,482,4.129018348322587
10,107,random_subsets_natural_partition,483,4.166405228636955
10,107,random_subsets_natural_partition,484,4.021161860477129
10,107,random_subsets_natural_partition,485,4.157176184893173
10,107,random_subsets_natural_partition,486,4.145899446886469
10,107,random_subsets_natural_partition,487,4.163595824271237
10,107,random_subsets_natural_partition,488,4.062579824343583
10,107,random_subsets_natural_partition,489,3.978352982180476
10,107,random_subsets_natural_partition,490,4.02560293792119
10,107,random_subsets_natural_partition,491,4.084222184419114
10,107,random_subsets_natural_partition,492,3.9935401178582133
10,107,random_subsets_natural_partition,493,4.204648797254653
10,107,random_subsets_natural_partition,494,4.057883877805436
10,107,random_subsets_natural_partition,495,4.074798457541276
10,107,random_subsets_natural_partition,496,4.109558932114832
10,107,random_subsets_natural_partition,497,4.004038181956987
10,107,random_subsets_natural_partition,498,3.983460138357732
10,107,random_subsets_natural_partition,499,4.116637791963247
10,107,random_subsets_natural_partition,500,4.070057163748119
10,107,random_subsets_natural_partition,501,4.041996954771058
10,107,random_subsets_natural_partition,502,4.139158103314368
10,107,random_subsets_natural_partition,503,4.021930253929247
10,107,random_subsets_natural_partition,504,4.117655446588562
10,107,random_subsets_natural_partition,505,4.094565823017105
10,107,random_subsets_natural_partition,506,4.080032035034437
10,107,random_subsets_natural_partition,507,3.9875365327210415
10,107,random_subsets_natural_partition,508,4.165915421154651
10,107,random_subsets_natural_partition,509,4.066076215132713
10,107,random_subsets_natural_partition,510,4.132784587978225
10,107,random_subsets_natural_partition,511,4.0514222773798245
10,107,random_subsets_natural_partition,512,4.120418184940782
10,107,random_subsets_natural_partition,513,4.234959839041399
10,107,random_subsets_natural_partition,514,4.098095804997354
10,107,random_subsets_natural_partition,515,4.0143251099536545
10,107,random_subsets_natural_partition,516,4.0091733917605925
10,107,random_subsets_natural_partition,517,4.005188713196791
10,107,random_subsets_natural_partition,518,3.984140141305437
10,107,random_subsets_natural_partition,519,3.995803234040937
10,107,random_subsets_natural_partition,520,4.181541568143637
10,107,random_subsets_natural_partition,521,4.053099412065527
10,107,random_subsets_natural_partition,522,3.895366348226208
10,107,random_subsets_natural_partition,523,3.8382626192160165
10,107,random_subsets_natural_partition,524,4.109967814442328
10,107,random_subsets_natural_partition,525,4.066178460264018
10,107,random_subsets_natural_partition,526,4.08547265866195
10,107,random_subsets_natural_partition,527,4.053009705288793
10,107,random_subsets_natural_partition,528,4.1193339298433855
10,107,random_subsets_natural_partition,529,4.146365847456528
10,107,random_subsets_natural_partition,530,4.0766943174600305
10,107,random_subsets_natural_partition,531,4.105351885378414
10,107,random_subsets_natural_partition,532,4.155139184585678
