family,n,M,seed,count,mean,std,minimum,maximum
background,10,107,20250604,10000,4.073081481098173,0.06061479547322119,3.805366359154067,4.269215927571168
selected,10,107,163765,126,4.144912148834473,0.04551388987465532,3.9855910721337007,4.284745752538602
