state_family,n,M,count,mean,std,sem,minimum,maximum,Page_exact_bits
subset,20,13091,1000,9.215199329963028,0.0026169812565158008,8.275621364559292e-05,9.205463883865963,9.222369011380447,9.2786532821411
complex_haar,20,,1000,9.27871143884036,0.000708888856625924,2.2417033948504648e-05,9.276429377853775,9.281227590053446,9.2786532821411
