m,states_count,states_mean,states_std,states_sem,states_min,states_max,partitions_count,partitions_mean,partitions_std,partitions_sem,partitions_min,partitions_max
1,100,0.0,0.0,0.0,-0.0,-0.0,100,0.0,0.0,0.0,-0.0,-0.0
335,100,6.07209897615188,0.039774080901016924,0.003977408090101693,5.979138875656771,6.147098085180597,100,6.088799538336998,0.033393055838632356,0.0033393055838632354,5.996427025130148,6.161220706329911
670,100,6.141554105722479,0.018560003106011278,0.0018560003106011277,6.100666771104729,6.191352524200386,100,6.13801831887106,0.018407144877625688,0.0018407144877625689,6.091456654805581,6.1702706542916665
1004,100,6.127645707376128,0.016571282931228927,0.0016571282931228926,6.088502252041056,6.162748667314356,100,6.1297972846056075,0.012691351814999896,0.0012691351814999895,6.103338373461785,6.164184684317601
1338,100,6.087316533929247,0.012475097324447812,0.0012475097324447812,6.059650930646357,6.113330254101224,100,6.084755968869434,0.011400833956362938,0.0011400833956362938,6.052118830192593,6.112095119829573
1673,100,6.034591729945293,0.011784336267046485,0.0011784336267046485,6.01392037265894,6.0666346464575405,100,6.037872573714155,0.010378165607083803,0.0010378165607083803,6.014590647427614,6.064020673220109
2007,100,5.969091564937193,0.01004912429514447,0.001004912429514447,5.939670153900515,5.994129280504563,100,5.971295790126202,0.008778770706130055,0.0008778770706130056,5.940496289548684,5.995055826145742
2341,100,5.900347771960519,0.009864416482497458,0.0009864416482497458,5.8748698670342785,5.919196092538862,100,5.899864157272531,0.009510749727003918,0.0009510749727003918,5.878327508750676,5.923172548756289
2676,100,5.822800761554196,0.008840419646515366,0.0008840419646515366,5.798778297142966,5.84950969956727,100,5.8221664448898105,0.008194479336876472,0.0008194479336876472,5.801860205183099,5.844902072609572
3010,100,5.744119163634942,0.00774033396110315,0.0007740333961103149,5.7270850192038845,5.760914964249149,100,5.741169980454723,0.008128981726878476,0.0008128981726878476,5.71590911300784,5.756352167325977
3344,100,5.658246014599962,0.008212609954675631,0.0008212609954675631,5.637405488406376,5.673994472867271,100,5.661307130577121,0.008402540381981157,0.0008402540381981157,5.638304642605487,5.680596651296992
3679,100,5.570118434572206,0.009312023451113307,0.0009312023451113307,5.543123814624613,5.591615907532521,100,5.5678941982117065,0.008135975389082955,0.0008135975389082955,5.550208960504767,5.585683389619285
4013,100,5.477713816855051,0.008671059621556204,0.0008671059621556204,5.449351328304352,5.498626813623767,100,5.476384164990763,0.007312135172016017,0.0007312135172016017,5.459576782501815,5.49578780683378
4348,100,5.380787600918433,0.008527123823652163,0.0008527123823652164,5.358765693891118,5.403489269789843,100,5.384118632307196,0.008014246652940298,0.0008014246652940298,5.355056834859,5.407592399586237
4682,100,5.282909574994764,0.00916178911231664,0.000916178911231664,5.259314905332122,5.302210034017445,100,5.2799158118458855,0.008094478944454982,0.0008094478944454982,5.259723059854615,5.299246122297773
5016,100,5.181955959765957,0.006921380863913386,0.0006921380863913385,5.16499089321952,5.197597031058826,100,5.180544323160071,0.0070825467911151165,0.0007082546791115117,5.161662525585548,5.1984123398330055
5351,100,5.078373907164406,0.0067019174892442085,0.0006701917489244208,5.063198520308262,5.093765221805168,100,5.074399167881833,0.0066659903552923365,0.0006665990355292337,5.050797907469153,5.090289687557633
5685,100,4.969682634385149,0.007214590075806342,0.0007214590075806342,4.953037843331945,4.989704361159754,100,4.9751057316524605,0.006862081955179807,0.0006862081955179807,4.959344747095862,4.990265823803966
6019,100,4.860509089286677,0.007179902323025657,0.0007179902323025657,4.843314260068351,4.878659079913662,100,4.85553671314979,0.006708542411678304,0.0006708542411678304,4.838576739501456,4.869305717388586
6354,100,4.747238364793853,0.0071614197388397815,0.0007161419738839781,4.728797877589274,4.765306689762106,100,4.740014987734019,0.006283926157079968,0.0006283926157079968,4.725032500233795,4.757359885174606
6688,100,4.6328192711605025,0.006668519235907557,0.0006668519235907557,4.610803621714965,4.646800204038366,100,4.6391913705061665,0.006226247622197642,0.0006226247622197642,4.626611456651727,4.652167485946326
7022,100,4.515610657084276,0.007098447771695113,0.0007098447771695113,4.499207631556797,4.539543424498558,100,4.509721830295595,0.006585999765791444,0.0006585999765791443,4.493575846940828,4.5226251399283015
7357,100,4.395217736701701,0.006047600132419721,0.0006047600132419722,4.376606420283355,4.4127082692077675,100,4.392162180681601,0.005937759087327196,0.0005937759087327196,4.3808049838572245,4.407159957738942
7691,100,4.274109564613923,0.005767911188535126,0.0005767911188535125,4.2607132729247175,4.294219452037751,100,4.276550401236944,0.005604587867739858,0.0005604587867739858,4.257129397777472,4.290913552390386
8025,100,4.149279977107442,0.005075731967838761,0.0005075731967838762,4.133185040522887,4.1627350947191095,100,4.149871662745344,0.00553793098559092,0.000553793098559092,4.135295990069482,4.162095155489926
8360,100,4.021764582707455,0.005673215749390656,0.0005673215749390656,4.006365175640906,4.036565289952999,100,4.022314929009565,0.005110954019044001,0.0005110954019044001,4.010082059959759,4.033199313875685
8694,100,3.8935237653354244,0.005946015647396823,0.0005946015647396823,3.880368768000476,3.909981854982257,100,3.896125911199819,0.00542613735305164,0.000542613735305164,3.8828338781730465,3.909876757116035
9028,100,3.7617433097832635,0.005449641294115877,0.0005449641294115878,3.745668265551863,3.7742819703843655,100,3.7639660280676606,0.005311848779900675,0.0005311848779900676,3.7500605657651516,3.774867494100749
9363,100,3.627492645875069,0.0053224578147995465,0.0005322457814799546,3.6122799754153414,3.6382479161759425,100,3.627772434955396,0.005271087892189413,0.0005271087892189414,3.6140892238579756,3.638753568662544
9697,100,3.4910555281735203,0.005278022266152163,0.0005278022266152164,3.4782277757346005,3.510153202929082,100,3.4920501002897915,0.0048390860718392145,0.00048390860718392143,3.480352344934687,3.5091018351250884
10031,100,3.3528800406796893,0.0047179402629305995,0.00047179402629305995,3.3412203693249602,3.3637984861196437,100,3.35326696963704,0.004400231956916489,0.00044002319569164886,3.341218318021815,3.3634005134105553
10366,100,3.2118376926181558,0.005178902464675757,0.0005178902464675757,3.1996229272023506,3.2242773641682647,100,3.21407558564463,0.00439172642970339,0.000439172642970339,3.203487546967406,3.225556228960537
10700,100,3.0673967112843683,0.004921459911609098,0.0004921459911609098,3.0568290734697583,3.0791230481424274,100,3.0688311457853747,0.0033874877738186353,0.0003387487773818635,3.0617191155134496,3.0766986163387617
11034,100,2.9208670994713746,0.004205980734350304,0.0004205980734350304,2.9119585911203574,2.9312785848938754,100,2.9208743267686295,0.004772284933866734,0.0004772284933866734,2.9091494772345263,2.933298446887855
11369,100,2.7721286878809717,0.0039920870575357904,0.000399208705753579,2.7602147598663165,2.7798918669655253,100,2.7752192746517004,0.003478704081549031,0.0003478704081549031,2.7637150769104606,2.7866699584419945
11703,100,2.620327260744528,0.0037945582929278516,0.00037945582929278516,2.610194904372288,2.630477586518862,100,2.6210558227578344,0.003688139679700206,0.0003688139679700206,2.6093674523471755,2.6291953814005153
