m,states_count,states_mean,states_std,states_sem,states_min,states_max,partitions_count,partitions_mean,partitions_std,partitions_sem,partitions_min,partitions_max
1,500,0.0,0.0,0.0,-0.0,-0.0,500,0.0,0.0,0.0,-0.0,-0.0
56,500,5.121171627497061,0.10714671310352131,0.004791746681302822,4.774695114465157,5.432991065825571,500,5.1364873182810795,0.1086807991740705,0.004860353096044492,4.857629271594767,5.468705351539857
111,500,5.634089766424517,0.08016865328648898,0.0035852511682640253,5.37573613539258,5.865625036405251,500,5.628947649168207,0.06731439426774212,0.003010391228937871,5.447182518325465,5.826871067635033
166,500,5.8540885293634854,0.058762027758796694,0.00262791777128798,5.685078625125288,6.010300842421609,500,5.919450634833568,0.0537415967475351,0.0024033972709374017,5.733832217784065,6.058943407077094
222,500,5.959519387210293,0.04647637342183461,0.0020784866063777337,5.830245239002196,6.108644994235903,500,5.962610903086547,0.0377743806196731,0.0016893216574707937,5.861619082436108,6.075053888381721
277,500,6.02920614491573,0.03974660657436331,0.0017775222835043282,5.912988007072782,6.144794486392723,500,6.011376400098501,0.04106546685431107,0.0018365035082800799,5.888863280168016,6.125148229252212
332,500,6.069465558798797,0.03707284346897628,0.0016579479623168017,5.971158043183888,6.173665628323021,500,6.078859479093856,0.0313982088190628,0.0014041705858231562,5.996650775814781,6.161248050668001
387,500,6.094531425015895,0.03098379675315956,0.0013856375148220408,6.003612304200543,6.168641664688804,500,6.070683718591734,0.02749821934837511,0.0012297577544633344,5.996123150646336,6.152498998437272
442,500,6.113546286456376,0.02592331753925631,0.0011593260044017936,6.02704093718813,6.189438545654824,500,6.121436573268301,0.024683855672466365,0.0011038955846085715,6.051021130769619,6.189447354242985
497,500,6.124435656134743,0.023816700441101873,0.0010651152237210603,6.049883229521234,6.183678549412022,500,6.1146895197071185,0.022778335109276175,0.0010186781143722325,6.0437080000063546,6.176067992874528
552,500,6.134580719320683,0.021889576079045712,0.0009789316022279903,6.063435955965415,6.19784210829609,500,6.131516294346532,0.0199718829662289,0.0008931697590231591,6.073980119298492,6.191462061115325
608,500,6.139071815217412,0.020509488714083715,0.0009172122189691187,6.0765804486501604,6.210557996721026,500,6.132620674948339,0.01666592424018593,0.0007453227901783454,6.084311049410498,6.18226272993558
663,500,6.143189659608033,0.01863288086200763,0.0008332877644820787,6.085805711133067,6.191293223459724,500,6.14272708159071,0.015863509134701134,0.000709437695737612,6.097284775351965,6.190199978955678
718,500,6.14255610700422,0.016799315769456886,0.0007512882407197956,6.09234464114739,6.188602057598891,500,6.1410121502404245,0.015905808531868567,0.0007113293822870849,6.093094792578319,6.186032917708835
773,500,6.143337963090317,0.016907021581936105,0.0007561049910853032,6.087639232760506,6.189953275328643,500,6.144057243108238,0.016230010755248395,0.0007258281464857622,6.09637854768733,6.179575369202614
828,500,6.141009106710782,0.016157397138277768,0.0007225807668129931,6.089696143717491,6.189723890855106,500,6.140780847769838,0.014636369428194589,0.0006545583397048565,6.091018272605915,6.181065446683229
883,500,6.13722800325267,0.015067705918858223,0.0006738482939908584,6.090244067837694,6.180649314559364,500,6.134760784782511,0.012221612301857929,0.0005465671180320402,6.100148140522467,6.172328915611888
938,500,6.132410599149033,0.014675646079937526,0.0006563148449693724,6.084009667069739,6.181650574108173,500,6.140070353891352,0.013210373575797513,0.0005907858664730042,6.093207867992058,6.1752704770327815
993,500,6.12902878761796,0.013764669512036436,0.0006155747343346466,6.07827148046929,6.173171957274157,500,6.139289804493253,0.012709421739601316,0.0005683826192892435,6.102571653887637,6.170302334685672
1049,500,6.123281200720614,0.014033957134088174,0.0006276176429027857,6.0854891271950935,6.171569067777092,500,6.129471907211993,0.012897877641538146,0.0005768106234390792,6.077079189831479,6.172555133829139
1104,500,6.117091140435853,0.013464687469851171,0.0006021591295675374,6.075711814415521,6.152994937523737,500,6.124920674276604,0.013418611225488871,0.0006000985372766975,6.092649086098307,6.159706018309422
1159,500,6.110910058714325,0.013131623816295021,0.0005872640701638176,6.063088239125629,6.145751482226112,500,6.118830060330198,0.01199013848043021,0.0005362152940375596,6.072618642046481,6.151348780418683
1214,500,6.104654774748001,0.01323226097775813,0.0005917647008457002,6.064867643504426,6.1402727411393325,500,6.1121849291464105,0.011239231129478788,0.0005026336964069262,6.077580268848249,6.145922120466114
1269,500,6.096672871675113,0.012773704082005139,0.0005712574130366007,6.062534972779735,6.1409263520399815,500,6.102772849672982,0.012211184914836479,0.0005461007911078869,6.063461339258848,6.131227482962709
1324,500,6.089382390387616,0.01212748866320249,0.0005423577809455764,6.056232407680523,6.119332170173999,500,6.086689089606498,0.011455252675724475,0.0005122944736471256,6.050833666124272,6.1166284536928455
1379,500,6.0817190808697505,0.011501635884682792,0.0005143687938120331,6.041784063118429,6.1114521664042325,500,6.078775940950839,0.010638932970685239,0.00047578754661031943,6.048236202136238,6.114577799648589
1435,500,6.072269386020112,0.011346376452519588,0.0005074253809227343,6.02512102677176,6.1016147662695035,500,6.070952700958284,0.009954286434510967,0.00044516922270141057,6.032717822769075,6.112448750945518
1490,500,6.063293636289229,0.011668258945866213,0.0005218204036405378,6.032479252693568,6.094554086929159,500,6.064606703292741,0.011439909510757495,0.0005116083064500024,6.029975733308366,6.094051215436345
1545,500,6.05522142574877,0.011652076314315711,0.0005210966943565027,6.02145797898108,6.0819186497251625,500,6.056460139529385,0.010334513496541464,0.000462173493853115,6.0248100100833195,6.088830142044272
1600,500,6.045737027452282,0.01094880854695709,0.000489645603672535,6.004934068321848,6.083710699172958,500,6.048195821995814,0.010999992944754879,0.0004919346395298,6.013558611636135,6.077571046611318
