fit_status,fit_variable,quadratic_a,quadratic_b,quadratic_c,log2_M_peak,log2_M_peak_sem,M_peak,M_peak_sem,S_peak,S_peak_sem,best_grid_M,best_grid_S,peak_inside_window,n,table_M_n,table_S_n,M_peak_minus_table_M_n,S_peak_minus_table_S_n,window_low,window_high,points_requested,points_used,samples_per_m,span,half_width,seed,sample_csv
concave_quadratic,log2_M,-0.16790884987957577,2.26420906295314,-3.557474364080891,6.742375594190035,0.014859794471291557,107.06740971025341,1.1027969583146175,4.07559959901868,0.0015473253880084466,107.0,4.078449741164573,True,10,107,4.072,0.0674097102534148,0.003599599018680344,80,134,21,21,200,0.25,,20250605,peak_verification_n10_samples.csv
concave_quadratic,log2_M,-0.11323169039202001,1.8383175999190293,-2.3509073172960404,8.117504885578324,0.009092810745697942,277.72339174150983,1.7503950378888407,5.11036873199763,0.0006399474520006534,269.0,5.111880555512786,True,12,276,5.108,1.723391741509829,0.0023687319976302135,207,345,21,21,200,0.25,,20260605,peak_verification_n12_samples.csv
concave_quadratic,log2_M,-0.06779229627961592,1.2845483947676268,0.05803130460210228,9.474147250222813,0.012775658388111674,711.2176169992174,6.298124729665699,6.1430316256350235,0.0005592473460601699,644.0,6.144919929257772,True,14,716,6.143,-4.782383000782602,3.162563502367988e-05,537,895,21,21,150,0.25,,20270605,peak_verification_n14_samples.csv
concave_quadratic,log2_M,-0.04598015337153373,1.0010590254444665,1.724026781976545,10.885773013365165,0.010451745343386413,1892.1005110409321,13.707507231261875,7.172677443961049,0.00029039088376798915,1925.0,7.174477849375645,True,16,1873,7.176,19.100511040932133,-0.0033225560389515962,1405,2341,19,19,100,0.25,,20280605,peak_verification_n16_samples.csv
concave_quadratic,log2_M,-0.03188475644693591,0.7820092446770027,3.4016541686744257,12.263058147840312,0.011858646718550565,4915.2808886613975,40.40256459546876,8.196566588485808,0.0002582079842980272,5242.0,8.197469496921814,True,18,4934,8.196,-18.719111338602488,0.0005665884858085946,3700,6168,17,17,60,0.25,,20290605,peak_verification_n18_samples.csv
concave_quadratic,log2_M,-0.025298637119848075,0.6912841405345357,4.4934242059540725,13.662477888822476,0.00895261489117053,12966.287879059757,80.46203713138607,9.215751348427444,0.00013931978316067932,11688.0,9.216114084596892,True,20,13091,9.215,-124.71212094024304,0.0007513484274443982,9818,16364,15,15,30,0.25,,20300605,peak_verification_n20_samples.csv
