n,m,log2_m,table_M_n,table_S_n,delta_m_from_table,count,mean,std,sem,minimum,maximum
20,9818,13.261213451366048,13091,9.215,-3273,30,9.211523125827755,0.0036104901729981068,0.0006591823038005975,9.200268883902687,9.217571851061635
20,10286,13.328394438352458,13091,9.215,-2805,30,9.21307891728271,0.003326886264643491,0.0006074035511331139,9.208290304521762,9.219505432398861
20,10753,13.392451595765687,13091,9.215,-2338,30,9.213783966905611,0.0031693679522026715,0.0005786447734851194,9.206109218826509,9.218520759649067
20,11221,13.453913632212153,13091,9.215,-1870,30,9.214667164999689,0.0025629857795856532,0.0004679350420146753,9.208993443914189,9.2195756497877
20,11688,13.512740462803498,13091,9.215,-1403,30,9.216114084596892,0.003097035859946003,0.000565438800631612,9.208936755089628,9.220909902213535
20,12156,13.569380959522295,13091,9.215,-935,30,9.214904393474429,0.0025282095959648257,0.00046158580860365233,9.208870433272168,9.219597420022966
20,12623,13.623767203560284,13091,9.215,-468,30,9.215652826148476,0.0023730051013494554,0.00043324947436130986,9.210653612775188,9.219040681654771
20,13091,13.676287686147877,13091,9.215,0,30,9.215761278581908,0.002343691664835102,0.0004278975975556742,9.21177904560702,9.220822563387303
20,13559,13.726963160660858,13091,9.215,468,30,9.215395736702872,0.0021077988054467086,0.0003848296508085351,9.21172011156053,9.218929213404218
20,14026,13.775816012673026,13091,9.215,935,30,9.215846038537256,0.002563222379810841,0.0004679782391081574,9.210918104146652,9.221305313232337
20,14494,13.82316817898474,13091,9.215,1403,30,9.215528206021107,0.00248231870158829,0.0004532073159256138,9.210392790036531,9.221230784537573
20,14961,13.86891898838627,13091,9.215,1870,30,9.2146414834547,0.0021072656589585085,0.00038473231202252114,9.208861287404643,9.218277871197484
20,15429,13.913356939073614,13091,9.215,2338,30,9.213841595991626,0.0021292599806029145,0.00038874790738974293,9.209984558368571,9.21786029800089
20,15896,13.95637615724967,13091,9.215,2805,30,9.213527234559892,0.0020024045599376017,0.00036558738224300993,9.209991569494681,9.219194655731723
20,16364,13.998237821888047,13091,9.215,3273,30,9.213056171298948,0.0024179661321109126,0.0004414581979468878,9.208695813903375,9.218697118653898
