n,m,log2_m,table_M_n,table_S_n,delta_m_from_table,count,mean,std,sem,minimum,maximum
12,207,7.693486957499325,276,5.108,-69,200,5.090274355726506,0.038967167341571754,0.0027553948270856356,4.98047588014636,5.195345954448442
12,214,7.7414669864011465,276,5.108,-62,200,5.0919988580431195,0.03839630180440297,0.002715028537837861,4.9736163445729735,5.184216499624727
12,221,7.787902559391432,276,5.108,-55,200,5.100455847029255,0.04099885428913484,0.0028990567888726414,5.003940648950148,5.209142083787332
12,228,7.832890014164741,276,5.108,-48,200,5.101957891420835,0.03949904413934372,0.0027930041961316703,4.99401083366189,5.185404682220364
12,235,7.876516946564999,276,5.108,-41,200,5.100540467551237,0.03827733892124817,0.0027066165916990346,4.968420397905418,5.185520343571982
12,242,7.918863237274595,276,5.108,-34,200,5.105381733670605,0.03706945616550076,0.0026212063829523058,4.9628006969835,5.197097397397793
12,248,7.954196310386875,276,5.108,-28,200,5.110424616006565,0.03451786862922784,0.00244078189798334,4.987462524950064,5.187761690348498
12,255,7.994353436858858,276,5.108,-21,200,5.10918857910836,0.034654333931602194,0.002450431452053898,4.990968475870749,5.187614020940143
12,262,8.03342300153745,276,5.108,-14,200,5.108838861905236,0.03403258676704895,0.002406467288429987,5.00426996641215,5.193461075932727
12,269,8.071462362556623,276,5.108,-7,200,5.111880555512786,0.03340185334837694,0.002361867700683592,4.97500714016641,5.182130920890575
12,276,8.108524456778168,276,5.108,0,200,5.110819399440646,0.033687014283907336,0.0023820316238078966,5.013692000760894,5.187506243321805
12,283,8.144658242831882,276,5.108,7,200,5.1099682999505855,0.034060683130417865,0.0024084540013364717,5.024340618118934,5.190756651797703
12,290,8.179909090014934,276,5.108,14,200,5.109365809015711,0.03259876808196254,0.0023050809969083295,4.991686820991424,5.191235102750707
12,297,8.214319120800766,276,5.108,21,200,5.110020246608657,0.02969728545780038,0.0020999151930043295,5.0249901400536565,5.192770329317284
12,304,8.247927513443585,276,5.108,28,200,5.106608054941009,0.0321335180133155,0.002272182849059547,5.027118972533502,5.185091767014688
12,310,8.276124405274238,276,5.108,34,200,5.106186509203413,0.0315145189140944,0.0022284130029987864,5.026227201849765,5.185915966382758
12,317,8.308339030139408,276,5.108,41,200,5.1058644233514,0.03196206242385109,0.0022600591080612848,5.0169530723210976,5.186880314050384
12,324,8.339850002884624,276,5.108,48,200,5.101858804518153,0.02906922449267875,0.002055504576260722,5.014383900044783,5.176789142636687
12,331,8.370687406807217,276,5.108,55,200,5.104860176508187,0.028654935850721673,0.0020262099454510804,5.011339700100198,5.183507241269555
12,338,8.400879436282183,276,5.108,62,200,5.104936740857928,0.029847747565599835,0.0021105544706779907,5.0288027529698045,5.179988009907428
12,345,8.430452551665532,276,5.108,69,200,5.098139428095291,0.026961013505768516,0.001906431547759101,5.028398119603748,5.165645882372685
