n,m,log2_m,table_M_n,table_S_n,delta_m_from_table,count,mean,std,sem,minimum,maximum
10,80,6.321928094887363,107,4.072,-27,200,4.044112498048235,0.07588262976950708,0.005365712208428663,3.827545856586554,4.209015702914339
10,83,6.3750394313469245,107,4.072,-24,200,4.054363046161789,0.07686262952254057,0.005435008655521776,3.803918501378888,4.2233170635310024
10,85,6.409390936137702,107,4.072,-22,200,4.0583843615088,0.07107734081709034,0.005025926968047196,3.8376158882478584,4.23888678745621
10,88,6.459431618637297,107,4.072,-19,200,4.059020589258057,0.06485132549615116,0.004585681202726453,3.8744741808081096,4.218431536664537
10,91,6.507794640198696,107,4.072,-16,200,4.068616588836847,0.06349661422173537,0.0044898886498575255,3.8982825270903394,4.267047908445772
10,94,6.554588851677638,107,4.072,-13,200,4.0771192717099245,0.060786725869085304,0.0042982706068157945,3.9330919780855775,4.24532239718315
10,96,6.584962500721156,107,4.072,-11,200,4.066187767334222,0.06248140501578081,0.004418102518472178,3.870145135579472,4.207179326490499
10,99,6.6293566200796095,107,4.072,-8,200,4.072042184223453,0.06756931489734089,0.004777872076403894,3.857492427587944,4.243633747014814
10,102,6.672425341971495,107,4.072,-5,200,4.077509266332826,0.05652566558559302,0.003996968144665589,3.9434531030225166,4.255357570116328
10,104,6.700439718141093,107,4.072,-3,200,4.065658829207252,0.06492579039571107,0.004590946666270372,3.8675015373547907,4.215887219664714
10,107,6.7414669864011465,107,4.072,0,200,4.078449741164573,0.058522594045972834,0.004138172310253486,3.849335066422454,4.208144804998464
10,110,6.78135971352466,107,4.072,3,200,4.072358465086203,0.057216834913978394,0.004045841196570533,3.9062735465914153,4.221510128992944
10,112,6.807354922057604,107,4.072,5,200,4.0744759723750485,0.056582295656895584,0.004000972495409301,3.901455570459353,4.208186982888194
10,115,6.845490050944375,107,4.072,8,200,4.071105414479056,0.05834822118336537,0.004125842286893021,3.905923629826537,4.218930834848138
10,118,6.882643049361842,107,4.072,11,200,4.078166021826316,0.056542031376541624,0.003998125380841512,3.9107430599583206,4.220329680287541
10,120,6.906890595608519,107,4.072,13,200,4.076625194911538,0.05551021257775304,0.003925164773883596,3.9149416600227127,4.205182274474489
10,123,6.94251450533924,107,4.072,16,200,4.062916810492619,0.05451031384981669,0.0038544612567812356,3.8760557618324882,4.195614379292745
10,126,6.977279923499917,107,4.072,19,200,4.073149226589339,0.05514215691021454,0.0038991393080465343,3.930362458191917,4.186994347738196
10,129,7.011227255423254,107,4.072,22,200,4.059306870924729,0.054696467630859495,0.003867624316873124,3.9036634416117977,4.2165729960720215
10,131,7.03342300153745,107,4.072,24,200,4.058876397341885,0.05847748095293154,0.004134982332852506,3.844468577498297,4.209711165192671
10,134,7.066089190457772,107,4.072,27,200,4.058809224370641,0.05172575505738473,0.0036575632163071093,3.916106152709869,4.187758271135915
