n,m,log2_m,table_M_n,table_S_n,delta_m_from_table,count,mean,std,sem,minimum,maximum
16,1405,10.456354415108288,1873,7.176,-468,100,7.165536770894813,0.012372572690913748,0.001237257269091375,7.13582294956428,7.192468611939602
16,1457,10.508785162064513,1873,7.176,-416,100,7.166156373686793,0.011601425534649348,0.0011601425534649348,7.137379012677365,7.192698539277774
16,1509,10.559377090526683,1873,7.176,-364,100,7.167623518359928,0.010296732497429349,0.001029673249742935,7.141448117207037,7.19230292422421
16,1561,10.608254821977908,1873,7.176,-312,100,7.167737168625742,0.011270770839236702,0.0011270770839236703,7.140249390622576,7.197568195049004
16,1613,10.655530723155643,1873,7.176,-260,100,7.169354244470135,0.011465484643347415,0.0011465484643347415,7.139893983178504,7.1926536182155365
16,1665,10.701306461958625,1873,7.176,-208,100,7.171847427217087,0.01067189850628554,0.001067189850628554,7.140486850593578,7.198383378466461
16,1717,10.745674324002135,1873,7.176,-156,100,7.171657677150873,0.011083230587859313,0.0011083230587859312,7.1449025387614755,7.1979549231320705
16,1769,10.788718332690458,1873,7.176,-104,100,7.171391031560973,0.011498963646382919,0.0011498963646382919,7.146311819270703,7.19769648586711
16,1821,10.830515206976838,1873,7.176,-52,100,7.172545451714461,0.00866524320579428,0.000866524320579428,7.148217461277847,7.190299509975848
16,1873,10.871135184243045,1873,7.176,0,100,7.172127144541007,0.009782633405993965,0.0009782633405993964,7.146853600199699,7.193169470575828
16,1925,10.910642730469625,1873,7.176,52,100,7.174477849375645,0.009112922499934012,0.0009112922499934012,7.15012175405195,7.197453007435606
16,1977,10.949097155729207,1873,7.176,104,100,7.173190162530268,0.00899373026485988,0.0008993730264859881,7.152024655485798,7.194796868908101
16,2029,10.98655314975666,1873,7.176,156,100,7.171184290803975,0.009896902611720064,0.0009896902611720064,7.150565392642583,7.20184383791598
16,2081,11.023061249735335,1873,7.176,208,100,7.171425444530161,0.00887854666789117,0.0008878546667891171,7.148533562297516,7.188339353606426
16,2133,11.058668250340572,1873,7.176,260,100,7.171178078032957,0.008178683511080762,0.0008178683511080762,7.150050225072922,7.196642557980965
16,2185,11.093417564387961,1873,7.176,312,100,7.17178329900021,0.008790121713216546,0.0008790121713216547,7.147670735649905,7.190171056471797
16,2237,11.127349541059118,1873,7.176,364,100,7.169733537174473,0.00828528087527107,0.000828528087527107,7.145331654922087,7.186067340202978
16,2289,11.160501747555687,1873,7.176,416,100,7.1689715189665915,0.008538763218899997,0.0008538763218899996,7.146540183625376,7.1938960061759705
16,2341,11.192909219112012,1873,7.176,468,100,7.168072660623693,0.008618550863275681,0.000861855086327568,7.1354907580360685,7.186510565376509
