n,m,log2_m,table_M_n,table_S_n,delta_m_from_table,count,mean,std,sem,minimum,maximum
14,537,9.068778277985412,716,6.143,-179,150,6.131521938507256,0.01900573502296194,0.0015518117664266762,6.070384155447902,6.184699348418855
14,555,9.116343961237469,716,6.143,-161,150,6.13333798259811,0.023223021792243708,0.001896151789217706,6.063374547850088,6.191898694956536
14,573,9.162391328756906,716,6.143,-143,150,6.134847992835574,0.0192961380317806,0.001575523072805832,6.074880380663418,6.17938270549585
14,591,9.207014320177532,716,6.143,-125,150,6.138345607107616,0.020147056022549608,0.0016450002358171106,6.088755236582619,6.192044988178233
14,609,9.250298417906333,716,6.143,-107,150,6.141676582355019,0.01890459471580959,0.0015435536949282886,6.079200009514,6.180889828255202
14,626,9.290018846932618,716,6.143,-90,150,6.143215974800137,0.018521108619299575,0.0015122421862649139,6.097905353755518,6.181860845957382
14,644,9.330916878114618,716,6.143,-72,150,6.144919929257772,0.01923165904066166,0.0015702583852268037,6.088464772045735,6.202177670657708
14,662,9.370687406807217,716,6.143,-54,150,6.140717141916557,0.01892197612446589,0.0015449728810022463,6.0878279277948195,6.203374577997572
14,680,9.409390936137703,716,6.143,-36,150,6.139300317652976,0.01732657444566473,0.0014147088794074965,6.099366735053463,6.1865442161977935
14,698,9.447083226209653,716,6.143,-18,150,6.143673379000802,0.01756841236863994,0.0014344548631322885,6.092463886033122,6.19317671625096
14,716,9.483815777264256,716,6.143,0,150,6.141723276388089,0.016717634991203906,0.0013649891811515704,6.096155308187314,6.17967982289552
14,734,9.519636252843213,716,6.143,18,150,6.143892164203343,0.019180103888104795,0.001566048924647615,6.084187512964667,6.181508007719718
14,752,9.554588851677638,716,6.143,36,150,6.142768843925165,0.016651616512844906,0.001359598794965753,6.104077963733934,6.188436949126263
14,770,9.588714635582264,716,6.143,54,150,6.14220474606052,0.016994325774500413,0.0013875808890051516,6.085234001445854,6.183904403511395
14,788,9.622051819456376,716,6.143,72,150,6.143251995793039,0.017119582900710324,0.0013978080905338742,6.101422512413047,6.187609988304433
14,806,9.654636028527968,716,6.143,90,150,6.138614470857639,0.016370357420212197,0.0013366340862168088,6.0944434792412245,6.181471888766899
14,823,9.684748620421626,716,6.143,107,150,6.139265399605169,0.016507356997686993,0.0013478200548764803,6.102886069523157,6.184022294313509
14,841,9.715961990255144,716,6.143,125,150,6.138174143474036,0.017627014031328065,0.0014392396688544418,6.087610562062939,6.171256478462509
14,859,9.746514321138463,716,6.143,143,150,6.1395567626930205,0.015703273033059285,0.0012821668740867467,6.104326741156728,6.179346749027816
14,877,9.776433032444732,716,6.143,161,150,6.137322659156568,0.015371970576935482,0.0012551161418189426,6.100241503653112,6.182145334051045
14,895,9.805743872151618,716,6.143,179,150,6.13545373925747,0.015685137683617133,0.0012806861290054021,6.094969271665635,6.181159112465467
